#generated on Tue Oct  6 11:43:06 2015 using mklcbol.pro
#
#INFILE   2003hv_bol.dat
#NAME     SN2003hv
#AV_HOST  0.010 +/- 0.013
#RV_HOST  1.800 +/- 0.900
#AV_MW    0.180 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 33.730 +/- 0.100
#NFILT    2 (J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
     1.200   1.71783090E+42   1.33778002E+41
     5.100   6.92940983E+41   5.26094171E+40
     8.100   4.13554350E+41   3.06353451E+40
    15.100   3.18209179E+41   2.28906213E+40
    19.100   4.87817580E+41   3.59021165E+40
    23.000   5.67409726E+41   4.24353325E+40
    26.100   4.39687937E+41   3.28643161E+40
    29.000   3.08306360E+41   2.28681340E+40
    32.000   2.23898351E+41   1.64795145E+40
    35.100   1.61071574E+41   1.17369013E+40
    38.000   1.26674350E+41   9.16268314E+39
    41.000   8.19736941E+40   5.84036400E+39
    45.000   5.11736722E+40   3.56659389E+39
    55.000   2.04327946E+40   1.36521195E+39
    62.000   1.97923799E+40   1.34779987E+39
