#generated on Wed Oct  7 13:14:59 2015 using mklcbol.pro
#
#INFILE   2003hv_bol.dat
#NAME     SN2003hv
#AV_HOST  0.000 +/- 0.013
#RV_HOST  3.100 +/- 0.200
#AV_MW    0.048 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 31.370 +/- 0.100
#NFILT    8 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
     1.200   1.02087550E+43   6.64865008E+41
     1.300   9.73242902E+42   6.33843352E+41
     2.200   9.24641599E+42   6.02190809E+41
     3.200   9.07996335E+42   5.91350257E+41
     4.200   8.59178794E+42   5.59556886E+41
     5.100   8.01225313E+42   5.21813555E+41
     5.200   7.94116808E+42   5.17184002E+41
     5.300   7.90043897E+42   5.14531440E+41
     6.200   7.16577272E+42   4.66684873E+41
     6.300   7.10066640E+42   4.62444698E+41
     7.300   6.39008266E+42   4.16166551E+41
     8.100   5.96290694E+42   3.88345902E+41
     8.300   5.82985897E+42   3.79680894E+41
    10.200   4.82516996E+42   3.14248570E+41
    11.100   4.60059860E+42   2.99622924E+41
    11.300   4.51835747E+42   2.94266811E+41
    12.300   4.05453777E+42   2.64059651E+41
    13.300   3.85368270E+42   2.50978574E+41
    14.100   3.95343763E+42   2.57475308E+41
    15.100   3.84340223E+42   2.50309039E+41
    15.200   3.64545952E+42   2.37417635E+41
    15.300   3.64731619E+42   2.37538555E+41
    16.100   3.66825962E+42   2.38902536E+41
    17.100   3.54185857E+42   2.30670422E+41
    19.100   3.22728424E+42   2.10183157E+41
    19.300   3.15619794E+42   2.05553524E+41
    21.300   2.89331680E+42   1.88432879E+41
    23.000   2.66531604E+42   1.73583886E+41
    23.200   2.66455686E+42   1.73534443E+41
    23.300   2.64589047E+42   1.72318758E+41
    25.300   2.24054264E+42   1.45919693E+41
    26.100   2.09176830E+42   1.36230475E+41
    28.200   1.81118497E+42   1.17956941E+41
    29.000   1.71839354E+42   1.11913719E+41
    30.200   1.59909438E+42   1.04144129E+41
    32.000   1.45034722E+42   9.44566807E+40
    34.200   1.30191885E+42   8.47899948E+40
    35.100   1.25294617E+42   8.16005542E+40
    37.200   1.16744222E+42   7.60319430E+40
    38.000   1.13265301E+42   7.37662283E+40
    38.200   1.13523154E+42   7.39341598E+40
    39.200   1.08273222E+42   7.05150400E+40
    41.000   9.83301261E+41   6.40394054E+40
    41.200   9.82699936E+41   6.40002429E+40
    43.200   9.04323070E+41   5.88957972E+40
    45.000   8.47341486E+41   5.51847608E+40
    45.200   8.41023748E+41   5.47733059E+40
    48.200   7.51665366E+41   4.89536676E+40
    51.200   6.87538263E+41   4.47772654E+40
    51.500   6.80201474E+41   4.42994428E+40
    54.200   6.10192783E+41   3.97399907E+40
    55.000   5.93207375E+41   3.86337830E+40
    57.100   5.71352393E+41   3.72104348E+40
    60.100   5.15463827E+41   3.35705834E+40
    62.000   4.88545792E+41   3.18174940E+40
