#generated on Fri Feb  6 14:43:13 2015 using mklcbol.pro
#
#INFILE   SN2005M_bol.dat
#NAME     SN2005M
#AV_HOST  0.186 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.084 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.004 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53397.203   8.19949553E+42   4.65350489E+41
 53398.207   9.14131408E+42   5.18914609E+41
 53399.188   9.93900360E+42   5.64616125E+41
 53400.195   1.06335741E+43   6.04303115E+41
 53401.176   1.11378353E+43   6.33116257E+41
 53402.172   1.15405488E+43   6.56257984E+41
 53403.219   1.18159205E+43   6.72163148E+41
 53404.211   1.19478387E+43   6.79964395E+41
 53405.238   1.19310225E+43   6.79727275E+41
 53406.219   1.18100633E+43   6.73545761E+41
 53407.262   1.16003653E+43   6.62149169E+41
 53408.223   1.13201755E+43   6.46592134E+41
 53409.223   1.10246081E+43   6.30070141E+41
 53410.238   1.07167743E+43   6.12777411E+41
 53411.223   1.03151278E+43   5.89981810E+41
 53412.211   9.90693543E+42   5.66843489E+41
 53413.168   9.49140295E+42   5.43420756E+41
 53414.168   9.03140816E+42   5.17161474E+41
 53415.223   8.49712324E+42   4.86563703E+41
 53416.152   8.02389147E+42   4.59407105E+41
 53417.203   7.50879530E+42   4.29816612E+41
 53418.168   7.02256445E+42   4.01950267E+41
 53419.168   6.55835934E+42   3.75196956E+41
 53420.234   6.07615416E+42   3.47358770E+41
 53421.207   5.72294066E+42   3.26981234E+41
 53422.133   5.40911419E+42   3.08794069E+41
 53424.168   4.87851927E+42   2.77973965E+41
 53425.160   4.65892411E+42   2.65245368E+41
 53426.164   4.52072986E+42   2.57256062E+41
 53427.164   4.36674741E+42   2.47972185E+41
 53428.121   4.21525309E+42   2.39108129E+41
 53429.137   4.06893656E+42   2.30595441E+41
 53430.039   3.95147989E+42   2.23856479E+41
 53431.105   3.78939864E+42   2.14579618E+41
 53432.141   3.64373954E+42   2.06260564E+41
 53433.121   3.51374203E+42   1.98795519E+41
 53436.148   3.23236609E+42   1.82737556E+41
 53438.137   3.02940333E+42   1.71176831E+41
 53444.156   2.30719290E+42   1.30025778E+41
 53445.152   2.18851917E+42   1.23277066E+41
 53446.156   2.05831309E+42   1.15854913E+41
 53453.066   1.52957288E+42   8.59965719E+40
 53454.094   1.51083950E+42   8.49934494E+40
 53455.066   1.46891404E+42   8.26650255E+40
 53456.078   1.41436177E+42   7.96261675E+40
 53457.082   1.37448631E+42   7.74418330E+40
