#generated on Thu Mar 10 12:29:22 2016 using mklcbol.pro
#
#INFILE   SN2006X_bol.dat
#NAME     SN2006X
#AV_HOST  1.880 +/- 0.130
#RV_HOST  1.310 +/- 0.100
#AV_MW    0.071 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.910 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53776.328   3.17215888E+42   3.43665758E+41
 53777.332   3.89066584E+42   4.22034008E+41
 53778.352   4.64241455E+42   5.04175962E+41
 53779.344   5.34748198E+42   5.81451316E+41
 53780.367   5.97096558E+42   6.49799824E+41
 53782.336   6.85453739E+42   7.47244670E+41
 53783.215   6.98542739E+42   7.61887889E+41
 53784.324   7.16428425E+42   7.81928007E+41
 53785.301   7.24533596E+42   7.91250299E+41
 53786.324   7.24970996E+42   7.92124266E+41
 53787.332   7.18151966E+42   7.85141980E+41
 53788.312   7.06238138E+42   7.72247961E+41
 53789.309   6.87527180E+42   7.52046630E+41
 53790.293   6.57510523E+42   7.19455516E+41
 53795.277   4.82688462E+42   5.29052370E+41
 53796.320   4.46964952E+42   4.90215895E+41
 53797.309   4.15748836E+42   4.55842298E+41
 53798.289   3.83148031E+42   4.19917547E+41
 53799.285   3.59629672E+42   3.93900203E+41
 53800.324   3.39673365E+42   3.71662479E+41
 53802.277   3.10838792E+42   3.39489396E+41
 53803.293   2.99565789E+42   3.26806270E+41
 53804.266   2.91409993E+42   3.17591801E+41
 53805.223   2.85364228E+42   3.10714238E+41
 53807.254   2.73180896E+42   2.96875458E+41
 53808.297   2.66231066E+42   2.88973780E+41
 53809.227   2.59891255E+42   2.81756945E+41
 53810.262   2.52680814E+42   2.73418009E+41
 53813.250   2.26272286E+42   2.43739270E+41
 53815.215   2.04766426E+42   2.20075868E+41
 53817.320   1.79159136E+42   1.92535132E+41
 53818.277   1.66098902E+42   1.78416898E+41
 53819.250   1.57353387E+42   1.69034877E+41
 53820.234   1.49027927E+42   1.60265720E+41
 53824.234   1.24099415E+42   1.33824861E+41
 53826.266   1.14782619E+42   1.23949740E+41
 53829.230   1.04155837E+42   1.12693540E+41
 53830.234   1.01246561E+42   1.09613837E+41
 53831.195   9.90748732E+41   1.07338581E+41
 53832.266   9.59197196E+41   1.03988966E+41
 53833.246   9.31140963E+41   1.01012726E+41
 53835.152   8.83715474E+41   9.59522462E+40
 53838.188   8.04380209E+41   8.74495575E+40
 53839.172   7.82578558E+41   8.51205650E+40
 53841.215   7.49392863E+41   8.16163603E+40
