#generated on Tue Apr 21 19:06:26 2015 using mklcbol.pro
#
#INFILE   SN2007S_bol.dat
#NAME     SN2007S
#AV_HOST  1.000 +/- 0.000
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.068 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.068 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54133.328   8.17012568E+42   1.27190493E+42
 54137.285   1.33184957E+43   2.07281514E+42
 54138.273   1.45384172E+43   2.26405779E+42
 54139.137   1.55222837E+43   2.41822297E+42
 54140.234   1.66147504E+43   2.59063089E+42
 54143.250   1.74989134E+43   2.73212738E+42
 54146.328   1.73425508E+43   2.71050929E+42
 54147.219   1.69659291E+43   2.65244854E+42
 54150.191   1.52536128E+43   2.38637582E+42
 54153.262   1.26866765E+43   1.98482289E+42
 54154.141   1.18676714E+43   1.85706091E+42
 54156.160   1.03745929E+43   1.62438785E+42
 54158.191   8.88398772E+42   1.39070217E+42
 54160.156   7.80889239E+42   1.22059211E+42
 54161.160   7.38034441E+42   1.15240972E+42
 54164.180   6.41925337E+42   9.99110492E+41
 54165.207   6.16883719E+42   9.59197213E+41
 54166.148   5.96267818E+42   9.26277782E+41
 54169.176   5.47108112E+42   8.47825254E+41
 54171.230   5.17957463E+42   8.00760680E+41
 54174.230   4.54083418E+42   6.99285980E+41
 54175.141   4.39379105E+42   6.75646449E+41
 54184.121   3.08645865E+42   4.73421975E+41
 54185.176   2.86397083E+42   4.39090279E+41
 54191.164   2.28247817E+42   3.50745610E+41
 54194.113   2.09258466E+42   3.22362310E+41
 54199.090   1.80365985E+42   2.78688702E+41
 54203.191   1.62053504E+42   2.50956652E+41
 54213.113   1.27060011E+42   1.97595583E+41
 54223.035   1.01888746E+42   1.58949924E+41
 54224.055   9.97269928E+41   1.55621818E+41
 54244.977   6.76224516E+41   1.06063331E+41
