#generated on Mon Mar 21 08:48:32 2016 using mklcbol.pro
#
#INFILE   SN2007ba_bol.dat
#NAME     SN2007ba
#AV_HOST  0.150 +/- 0.026
#RV_HOST  1.000 +/- 0.290
#AV_MW    0.099 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.183 +/- 0.050
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54194.332   7.27753993E+42   1.27871798E+42
 54196.324   7.72406299E+42   1.35607369E+42
 54197.336   7.79612133E+42   1.36542255E+42
 54198.285   7.75679514E+42   1.35491342E+42
 54200.340   7.39762072E+42   1.27741970E+42
 54202.367   6.51304431E+42   1.11391642E+42
 54203.332   6.06731898E+42   1.02986158E+42
 54205.277   5.21875350E+42   8.71480836E+41
 54207.277   4.48530368E+42   7.36143984E+41
 54208.316   4.18680870E+42   6.81466221E+41
 54211.297   3.55051779E+42   5.65103420E+41
 54213.262   3.18045661E+42   5.01971925E+41
 54217.277   2.53262806E+42   3.94894088E+41
 54218.332   2.27525164E+42   3.54627906E+41
