#generated on Fri Feb  6 14:23:45 2015 using mklcbol.pro
#
#INFILE   SN2007bd_bol.dat
#NAME     SN2007bd
#AV_HOST  0.180 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.090 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.734 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54198.039   6.76344643E+42   3.69626774E+41
 54199.035   8.19167893E+42   4.48403166E+41
 54201.043   1.09680018E+43   6.01925756E+41
 54205.082   1.34124173E+43   7.39378398E+41
 54206.098   1.26445014E+43   6.96988769E+41
 54207.039   1.25606604E+43   6.92744241E+41
 54207.969   1.22620485E+43   6.77007510E+41
 54212.992   9.37183339E+42   5.18411775E+41
 54218.012   6.42519067E+42   3.55169375E+41
 54220.000   5.57607536E+42   3.08037590E+41
 54222.969   4.66258250E+42   2.57413985E+41
 54223.992   4.56474753E+42   2.51819929E+41
 54224.965   4.35379379E+42   2.39926839E+41
 54227.047   4.02193582E+42   2.21291014E+41
 54227.977   3.88959636E+42   2.13946590E+41
 54234.980   2.70727764E+42   1.48199993E+41
 54238.977   2.17817693E+42   1.18848559E+41
 54243.973   1.68165926E+42   9.14540612E+40
 54244.973   1.66326789E+42   9.04996178E+40
 54246.984   1.54027165E+42   8.37884547E+40
