#generated on Fri Feb  6 14:43:36 2015 using mklcbol.pro
#
#INFILE   SN2008hv_bol.dat
#NAME     SN2008hv
#AV_HOST  0.229 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.847 +/- 0.000
#NFILT    6 (u_CSP,B_CSP,V_CSP,r_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54806.281   3.45094196E+42   2.05443516E+41
 54808.297   6.52361152E+42   3.89394466E+41
 54809.285   8.13553426E+42   4.85924602E+41
 54810.289   9.56130014E+42   5.71188691E+41
 54811.293   1.08365834E+43   6.47626172E+41
 54812.270   1.19475958E+43   7.15090852E+41
 54813.285   1.28029397E+43   7.67518870E+41
 54815.328   1.39401176E+43   8.38958201E+41
 54817.262   1.39555117E+43   8.41950018E+41
 54818.258   1.36173939E+43   8.22296077E+41
 54822.305   1.10647929E+43   6.70394577E+41
 54827.250   7.79354449E+42   4.73395998E+41
 54828.285   7.21016073E+42   4.38329931E+41
 54829.234   6.71847771E+42   4.08345811E+41
 54830.227   6.19997287E+42   3.76640378E+41
 54831.262   5.80590111E+42   3.52521191E+41
 54833.266   5.22003297E+42   3.15865157E+41
 54834.320   4.96001120E+42   2.99741714E+41
 54837.297   4.41118856E+42   2.65710317E+41
 54838.293   4.20205228E+42   2.52819344E+41
 54839.180   3.99120143E+42   2.39578213E+41
 54840.230   3.73553846E+42   2.23770300E+41
 54841.234   3.48502180E+42   2.08334094E+41
 54842.348   3.22357058E+42   1.92281288E+41
 54844.273   2.85918096E+42   1.70074935E+41
 54849.273   2.15919027E+42   1.28914201E+41
 54854.270   1.70409912E+42   1.01945687E+41
 54856.246   1.58080215E+42   9.47212986E+40
 54867.203   1.10801535E+42   6.68813548E+40
 54868.148   1.07707525E+42   6.50765069E+40
 54870.164   1.01918331E+42   6.16265550E+40
 54874.129   9.18052431E+41   5.55753335E+40
 54875.137   8.95005941E+41   5.42006267E+40
 54878.141   8.33084506E+41   5.04864446E+40
 54884.164   7.16253774E+41   4.34271411E+40
 54887.160   6.65615924E+41   4.02852709E+40
 54889.168   6.31662136E+41   3.82181554E+40
 54895.078   5.39764428E+41   3.26362355E+40
