#generated on Fri Feb  6 14:45:17 2015 using mklcbol.pro
#
#INFILE   SN2008hv_bol.dat
#NAME     SN2008hv
#AV_HOST  0.110 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.847 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54806.281   2.72234089E+42   1.24477262E+41
 54808.297   5.23213724E+42   2.39919785E+41
 54809.285   6.52908741E+42   2.99553281E+41
 54810.289   7.65573080E+42   3.51297640E+41
 54811.293   8.63378624E+42   3.96271092E+41
 54812.270   9.45748966E+42   4.34548430E+41
 54813.285   1.00314909E+43   4.61460734E+41
 54815.328   1.07142150E+43   4.94219232E+41
 54817.262   1.04646560E+43   4.83371689E+41
 54818.258   1.01491103E+43   4.69125049E+41
 54822.305   8.14310834E+42   3.77423497E+41
 54827.250   5.67586031E+42   2.63448602E+41
 54828.285   5.24106115E+42   2.43380789E+41
 54829.234   4.87865735E+42   2.26435058E+41
 54830.227   4.50249208E+42   2.08805943E+41
 54831.262   4.21557806E+42   1.95323251E+41
 54833.266   3.80566260E+42   1.75634680E+41
 54834.320   3.62687639E+42   1.67122830E+41
 54837.297   3.29720527E+42   1.51415679E+41
 54838.293   3.18760779E+42   1.46252713E+41
 54839.180   3.07656731E+42   1.40923958E+41
 54840.230   2.92793006E+42   1.33928394E+41
 54841.234   2.76791646E+42   1.26431620E+41
 54842.348   2.57999696E+42   1.17656842E+41
 54844.273   2.29245073E+42   1.04310852E+41
 54849.273   1.70834231E+42   7.79492954E+40
 54854.270   1.33386409E+42   6.09497450E+40
 54856.246   1.23206462E+42   5.63709545E+40
 54867.203   8.53856458E+41   3.93237556E+40
 54868.148   8.28403834E+41   3.81828138E+40
 54870.164   7.79515014E+41   3.59529323E+40
 54874.129   6.97034070E+41   3.21827784E+40
 54875.137   6.78555615E+41   3.13406672E+40
 54878.141   6.31546002E+41   2.91924163E+40
 54884.164   5.43883952E+41   2.51613938E+40
 54887.160   5.06276096E+41   2.33911700E+40
 54889.168   4.80917409E+41   2.22162784E+40
 54895.078   4.12471303E+41   1.90528889E+40
