#generated on Thu Jun 30 13:56:28 2016 using mklcbol.pro
#
#INFILE   SN2014J_optir.dat
#NAME     SN2014J
#AV_HOST  4.000 +/- 0.100
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.042 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 27.640 +/- 0.160
#NFILT    8 (U_Bessell,B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_MKO,H_MKO,K_MKO)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 56685.125   4.82647115E+43   6.49770939E+42
 56685.738   4.97956435E+43   6.70365092E+42
 56685.750   4.98232995E+43   6.70738192E+42
 56686.762   5.19041901E+43   6.98770684E+42
 56686.770   5.19214643E+43   6.99000997E+42
 56687.781   5.34070579E+43   7.19025743E+42
 56687.801   5.34284676E+43   7.19315067E+42
 56688.852   5.42844233E+43   7.30853627E+42
 56689.395   5.42739782E+43   7.30711878E+42
 56690.301   5.36245460E+43   7.21955085E+42
 56690.781   5.29093792E+43   7.12291274E+42
 56691.781   5.12273511E+43   6.89709798E+42
 56692.164   5.03757717E+43   6.78216044E+42
 56692.789   4.92307295E+43   6.62756552E+42
 56694.781   4.53748630E+43   6.10688620E+42
 56694.801   4.53345234E+43   6.10144702E+42
 56694.809   4.53186131E+43   6.09929051E+42
 56695.781   4.33353706E+43   5.83176539E+42
 56695.801   4.32919963E+43   5.82593539E+42
 56695.809   4.32756995E+43   5.82373732E+42
 56696.738   4.13253329E+43   5.56109500E+42
 56696.750   4.13008578E+43   5.55779710E+42
 56696.770   4.12600743E+43   5.55231323E+42
 56696.863   4.09004832E+43   5.50360841E+42
 56697.738   3.90773124E+43   5.25813951E+42
 56697.770   3.90141295E+43   5.24962840E+42
 56697.789   3.89731350E+43   5.24410445E+42
 56699.750   3.49298516E+43   4.69980889E+42
 56699.770   3.48939717E+43   4.69496862E+42
 56699.789   3.48534026E+43   4.68948882E+42
 56700.418   3.34878073E+43   4.50585695E+42
 56700.430   3.31881894E+43   4.46546614E+42
 56700.750   3.26894307E+43   4.39848773E+42
 56700.770   3.26597252E+43   4.39449471E+42
 56700.988   3.23315788E+43   4.35028584E+42
 56701.301   3.19065714E+43   4.29301111E+42
 56701.305   3.22000950E+43   4.33245961E+42
 56702.293   3.01378633E+43   4.05474933E+42
 56702.297   3.00925545E+43   4.04859490E+42
 56702.574   2.93569008E+43   3.94927849E+42
 56703.344   2.75760337E+43   3.70920637E+42
 56703.348   2.75664667E+43   3.70793963E+42
 56703.840   2.65390164E+43   3.56935799E+42
 56703.859   2.65029020E+43   3.56448630E+42
 56703.871   2.64798834E+43   3.56138919E+42
 56704.859   2.47391744E+43   3.32682717E+42
 56704.871   2.47184068E+43   3.32403243E+42
 56705.332   2.40530618E+43   3.23426733E+42
 56705.871   2.33714578E+43   3.14227466E+42
 56705.879   2.33611124E+43   3.14087291E+42
 56706.320   2.29338757E+43   3.08324279E+42
 56706.324   2.30409828E+43   3.09756412E+42
 56706.781   2.26328466E+43   3.04242830E+42
 56707.828   2.17242106E+43   2.91972229E+42
 56707.852   2.17012821E+43   2.91662326E+42
 56708.266   2.13560722E+43   2.87001962E+42
 56709.340   2.05231272E+43   2.75775692E+42
 56709.750   2.02632842E+43   2.72258332E+42
 56709.762   2.02601956E+43   2.72215928E+42
 56709.770   2.02554851E+43   2.72151143E+42
 56710.289   2.00362259E+43   2.69183707E+42
 56710.293   2.01330646E+43   2.70480828E+42
 56711.246   1.96940584E+43   2.64538606E+42
 56711.250   1.96680504E+43   2.64184568E+42
 56712.258   1.89918117E+43   2.55057327E+42
 56712.996   1.84968521E+43   2.48386198E+42
 56713.297   1.83048981E+43   2.45803615E+42
 56714.262   1.76412388E+43   2.36865127E+42
 56717.730   1.54928158E+43   2.07904924E+42
 56717.738   1.54909154E+43   2.07878761E+42
 56717.750   1.54837802E+43   2.07782280E+42
 56719.363   1.45340733E+43   1.95016896E+42
 56719.367   1.45279274E+43   1.94934582E+42
 56719.730   1.43172751E+43   1.92089011E+42
 56719.738   1.43160115E+43   1.92071164E+42
 56719.750   1.43092328E+43   1.91980628E+42
 56721.270   1.34196831E+43   1.80016925E+42
 56721.273   1.34311354E+43   1.80171146E+42
 56723.039   1.23440802E+43   1.65561356E+42
