#Date :
#Mag :
#Magerr :
@INSTRUMENT ABU
@BAND H
@MAGSYS VEGA
@MWCORRECTED 0
@KCORRECTED 0
56679.76 9.830 0.060
56680.85 9.700 0.030
56681.82 9.670 0.040
56682.79 9.570 0.030
56683.76 9.570 0.040
56684.72 9.480 0.080
56685.74 9.540 0.070
56686.77 9.590 0.030
56687.80 9.580 0.040
56690.78 9.730 0.050
56691.78 9.750 0.050
56692.79 9.720 0.050
56694.80 9.680 0.050
56695.80 9.770 0.040
56696.75 9.770 0.040
56697.77 9.820 0.040
56699.77 9.800 0.050
56700.99 9.850 0.040
56700.99 9.920 0.070
56703.86 9.790 0.040
56704.87 9.760 0.040
56705.88 9.820 0.050
56706.78 9.740 0.040
56707.85 9.710 0.030
56709.76 9.680 0.030
56717.74 9.520 0.040
56719.74 9.560 0.040
56729.72 10.050 0.040
56730.73 10.230 0.040
56736.72 10.300 0.040
