#generated on Mon Aug 25 16:00:07 2014 using mklcbol.pro
#
#INFILE   SN2006ot_lc_bolu.dat
#NAME     SN2006ot
#AV_HOST  0.130 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.045 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.820 +/- 0.050
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54065.160   9.55627997E+42   5.43821210E+42
 54066.207   9.52993606E+42   5.42748765E+42
 54067.227   9.41486472E+42   5.36233928E+42
 54069.066   8.84818209E+42   5.03496787E+42
 54070.191   8.50555024E+42   4.83546168E+42
 54071.125   8.16070267E+42   4.63586331E+42
 54072.168   7.77318549E+42   4.41141746E+42
 54073.137   7.42986705E+42   4.20997610E+42
 54075.160   6.69944565E+42   3.78516532E+42
 54077.184   5.96851366E+42   3.37286211E+42
