#generated on Mon Aug 25 12:36:35 2014 using mklcbol.pro
#
#INFILE   SN2005na_lc_bolu.dat
#NAME     sn2005na
#AV_HOST  0.180 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.206 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.340 +/- 0.080
#NFILT    4 (u_CSP,B_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53738.199   1.26358721E+43   3.30230359E+42
 53740.254   1.27026660E+43   3.31539668E+42
 53741.191   1.25036618E+43   3.26085752E+42
 53745.145   1.09125712E+43   2.83735044E+42
 53748.195   9.24060122E+42   2.40051981E+42
 53751.184   7.35866157E+42   1.90911986E+42
 53754.145   5.57785600E+42   1.44206238E+42
 53755.141   5.07615088E+42   1.30954016E+42
 53760.129   3.34922694E+42   8.55556687E+41
 53762.148   2.92482391E+42   7.45916605E+41
 53763.105   2.78721683E+42   7.10645475E+41
 53764.152   2.61935652E+42   6.67736099E+41
 53765.105   2.50080232E+42   6.37602673E+41
 53767.121   2.25677092E+42   5.75659983E+41
 53771.090   1.75743987E+42   4.48188216E+41
 53772.121   1.64731564E+42   4.20012047E+41
 53774.117   1.47306384E+42   3.75630151E+41
 53781.117   1.14393661E+42   2.91714894E+41
 53784.082   1.06313032E+42   2.70915859E+41
