#generated on Mon Aug 25 12:33:28 2014 using mklcbol.pro
#
#INFILE   SN2005na_lc_bolu.dat
#NAME     sn2005na
#AV_HOST  0.120 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.206 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.340 +/- 0.080
#NFILT    6 (u_CSP,B_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53753.129   7.04426818E+42   2.14446920E+42
 53754.145   6.41206441E+42   1.94999308E+42
 53755.141   5.93059161E+42   1.80069430E+42
 53756.195   5.50731952E+42   1.66975556E+42
 53757.145   5.18865039E+42   1.57045156E+42
 53760.129   4.47998476E+42   1.34998146E+42
 53762.148   4.18829817E+42   1.26046033E+42
 53763.105   4.10072747E+42   1.23360476E+42
 53764.152   4.00736447E+42   1.20570956E+42
 53765.105   3.93255102E+42   1.18318513E+42
 53767.121   3.73666909E+42   1.12398881E+42
 53771.090   3.16957166E+42   9.51746445E+41
 53772.121   2.97514494E+42   8.91996060E+41
 53773.141   2.79138385E+42   8.35754435E+41
 53774.117   2.64527889E+42   7.91357211E+41
 53781.117   1.91131145E+42   5.72873442E+41
 53782.078   1.83551092E+42   5.50875912E+41
 53783.059   1.75550116E+42   5.28110233E+41
 53784.082   1.70397426E+42   5.11959795E+41
