 ['SN2008bc', (84.832773866236224, 0.89206500126982824)],
 ['SN2008gp', (73.051346546712949, 0.41768232230388558)],
 ['SN2008hv', (74.08626117746374, 0.39674715929164006)],
 ['SN2008ia', (76.418539965783836, 0.46273977684654)],
 ['SN2005el', (75.573098040291967, 0.33530649455809269)],
 ['SN2005eq', (68.143000010647526, 0.25925170103727246)],
 ['SN2005M', (64.678895061147543, 0.16281124085771104)],
 ['SN2005hc', (65.523577349120586, 0.36255202014828269)],
 ['SN2005iq', (68.325559948010806, 0.37422213268118587)],
 ['SN2005ki', (75.222569140532059, 0.18555362950903051)],
 ['SN2006bh', (70.913181613325804, 0.24027025748016631)],
 ['SN2007bd', (74.91922170261131, 0.60595844273278143)]]

