#generated on Tue Feb 10 16:08:42 2015 using mklcbol.pro
#
#INFILE   SN2006eq_bol.dat
#NAME     SN2006eq
#AV_HOST  0.341 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.130 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.662 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53981.125   6.36631597E+42   3.78530528E+41
 53982.008   6.08810201E+42   3.62601475E+41
 53983.023   5.74371250E+42   3.42534889E+41
 53986.105   4.47235098E+42   2.66772426E+41
 53986.988   4.17062911E+42   2.48351492E+41
 53988.047   3.84164689E+42   2.28599480E+41
 53991.102   3.15839342E+42   1.87576281E+41
 53994.027   2.74550465E+42   1.62460980E+41
 53995.035   2.66299927E+42   1.56454576E+41
 53996.137   2.52583971E+42   1.48126117E+41
 53998.016   2.29367907E+42   1.34115302E+41
 53999.008   2.18698821E+42   1.27386234E+41
 54000.043   2.06800732E+42   1.20239362E+41
 54000.988   1.95444120E+42   1.13422251E+41
 54003.004   1.69675533E+42   9.80526745E+40
