#generated on Tue Oct 14 15:45:17 2014 using mklcbol.pro
#
#INFILE   SN2007on_lc_bolu.dat
#NAME     SN2007on
#AV_HOST  0.060 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.032 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 31.450 +/- 0.150
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54411.285   2.28409435E+42   3.52678605E+41
 54412.215   2.91752830E+42   4.50674841E+41
 54413.312   3.70973956E+42   5.73246772E+41
 54415.242   4.97223756E+42   7.68769716E+41
 54417.207   5.57805853E+42   8.62207478E+41
 54418.242   5.76594295E+42   8.91401109E+41
 54421.207   5.87758194E+42   9.10496260E+41
 54422.219   5.55795753E+42   8.61222945E+41
 54423.203   5.24080003E+42   8.12471489E+41
 54424.219   4.86547490E+42   7.54692598E+41
 54425.223   4.53286598E+42   7.03460205E+41
 54426.156   4.17110996E+42   6.47398434E+41
 54427.180   3.79050964E+42   5.88147766E+41
 54428.215   3.44596316E+42   5.34381241E+41
 54429.184   3.18921728E+42   4.94280693E+41
 54430.168   3.00171299E+42   4.64962933E+41
 54431.211   2.84432810E+42   4.40288619E+41
 54432.168   2.71247830E+42   4.19490466E+41
 54435.160   2.30609959E+42   3.55370368E+41
 54437.207   2.05051721E+42   3.15037372E+41
 54439.184   1.78252566E+42   2.73616766E+41
 54440.188   1.60897394E+42   2.46821831E+41
 54442.207   1.37236605E+42   2.10866501E+41
 54443.223   1.25558327E+42   1.92997721E+41
 54444.281   1.16343192E+42   1.78974397E+41
 54445.223   1.09866456E+42   1.69133689E+41
 54446.176   1.03795484E+42   1.59874057E+41
 54447.148   9.81413187E+41   1.51253490E+41
 54448.152   9.29243354E+41   1.43290659E+41
 54449.195   8.83771142E+41   1.36368355E+41
 54453.137   7.43909105E+41   1.15067256E+41
 54454.145   7.13648999E+41   1.10448939E+41
 54455.113   6.85987131E+41   1.06222669E+41
 54456.152   6.59101776E+41   1.02118729E+41
 54457.121   6.35418703E+41   9.84837407E+40
 54458.184   6.11451497E+41   9.48020867E+40
 54461.180   5.49048627E+41   8.52207855E+40
 54462.223   5.29955501E+41   8.22896365E+40
 54463.145   5.12844725E+41   7.96795657E+40
 54467.129   4.46772711E+41   6.95088342E+40
 54468.133   4.32948404E+41   6.73586577E+40
 54470.086   4.07080295E+41   6.33679841E+40
 54471.152   3.94294270E+41   6.13926848E+40
 54472.109   3.82955258E+41   5.96381236E+40
 54475.109   3.49693902E+41   5.44960982E+40
 54476.137   3.39627537E+41   5.29421724E+40
 54477.102   3.30109315E+41   5.14924603E+40
 54484.086   2.68646986E+41   4.19622550E+40
 54485.129   2.60749932E+41   4.07334795E+40
 54488.074   2.39068571E+41   3.73527928E+40
 54490.070   2.27229691E+41   3.55078666E+40
 54491.086   2.21730953E+41   3.46504013E+40
