#generated on Tue Oct 28 15:25:08 2014 using mklcbol.pro
#
#INFILE   SN2005ke_lc_bol.dat
#NAME     SN2005ke
#AV_HOST  0.120 +/- 0.006
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.081 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.840 +/- 0.200
#NFILT    6 (B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53691.266   9.61203090E+41   1.35821152E+41
 53692.273   1.24115046E+42   1.75408547E+41
 53693.250   1.51088620E+42   2.13543116E+41
 53694.250   1.71442728E+42   2.42270527E+41
 53695.211   1.95680786E+42   2.76526114E+41
 53696.262   2.19066576E+42   3.09567813E+41
 53697.191   2.36659396E+42   3.34420278E+41
 53698.215   2.51360358E+42   3.55181988E+41
 53699.211   2.59814670E+42   3.67116071E+41
 53700.242   2.62566290E+42   3.70995634E+41
 53701.230   2.59859223E+42   3.67185270E+41
 53702.203   2.52499508E+42   3.56781247E+41
 53703.262   2.41439827E+42   3.41132275E+41
 53704.223   2.29709639E+42   3.24521701E+41
 53705.227   2.15987880E+42   3.05111763E+41
 53706.211   2.00326217E+42   2.82949125E+41
 53707.316   1.85436446E+42   2.61897125E+41
 53709.211   1.61359552E+42   2.27894425E+41
 53710.227   1.50020389E+42   2.11873621E+41
 53712.207   1.29884884E+42   1.83413354E+41
 53713.176   1.21685748E+42   1.71824239E+41
 53714.145   1.13946768E+42   1.60880697E+41
 53715.148   1.06317122E+42   1.50095302E+41
 53716.156   9.92812243E+41   1.40149408E+41
 53717.148   9.27102436E+41   1.30858187E+41
 53718.195   8.57582261E+41   1.21053329E+41
 53720.176   7.31896360E+41   1.03325589E+41
 53721.133   6.83425667E+41   9.65019124E+40
 53724.105   5.61318287E+41   7.93075824E+40
 53725.215   5.28626751E+41   7.47084388E+40
 53730.215   4.09907551E+41   5.79877904E+40
 53731.168   3.93089137E+41   5.56132601E+40
 53736.168   3.20393737E+41   4.53638129E+40
 53737.168   3.07774214E+41   4.35829095E+40
 53741.141   2.64907037E+41   3.75305800E+40
 53743.105   2.47618846E+41   3.50837360E+40
 53746.168   2.23419734E+41   3.16674052E+40
 53750.105   1.95665375E+41   2.77482345E+40
 53753.070   1.77226348E+41   2.51424843E+40
 53755.094   1.65749844E+41   2.35145855E+40
 53756.137   1.60922826E+41   2.28259683E+40
 53757.105   1.56116829E+41   2.21462832E+40
 53761.188   1.37199330E+41   1.94726307E+40
 53763.078   1.30835630E+41   1.85726642E+40
 53764.098   1.26837226E+41   1.80061811E+40
 53765.078   1.23395247E+41   1.75186151E+40
 53767.043   1.17294214E+41   1.66537838E+40
 53771.062   1.05668691E+41   1.50034130E+40
 53773.066   1.00363518E+41   1.42470174E+40
 53774.914   9.60528945E+40   1.36364514E+40
 53776.070   9.36103850E+40   1.32890216E+40
 53778.055   8.90713945E+40   1.26446610E+40
 53784.016   7.58431523E+40   1.07716622E+40
 53786.016   7.21023264E+40   1.02392900E+40
 53789.016   6.72314452E+40   9.54379431E+39
