#generated on Mon Mar 14 11:18:26 2016 using mklcbol.pro
#
#INFILE   2003hv_bol.dat
#NAME     SN2003hv
#AV_HOST  0.000 +/- 0.013
#RV_HOST  3.100 +/- 0.200
#AV_MW    0.048 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 31.370 +/- 0.100
#NFILT    4 (B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
     1.200   5.77882944E+42   3.76357497E+41
     1.300   5.45246652E+42   3.55102477E+41
     2.200   5.35220547E+42   3.48572781E+41
     3.200   5.30273387E+42   3.45350847E+41
     4.200   5.08926114E+42   3.31448021E+41
     5.200   4.71804612E+42   3.07271922E+41
     5.300   4.70272533E+42   3.06274126E+41
     6.200   4.27175743E+42   2.78206503E+41
     6.300   4.23246328E+42   2.75647396E+41
     7.300   3.78997626E+42   2.46829568E+41
     8.300   3.47899517E+42   2.26576321E+41
    10.200   2.91207256E+42   1.89654384E+41
    11.100   2.79061453E+42   1.81744194E+41
    11.300   2.74225726E+42   1.78594833E+41
    12.300   2.42408675E+42   1.57873360E+41
    13.300   2.24778267E+42   1.46391214E+41
    14.100   2.27570457E+42   1.48209682E+41
    15.200   2.03937865E+42   1.32818498E+41
    15.300   2.02918140E+42   1.32154382E+41
    16.100   1.97799275E+42   1.28820622E+41
    17.100   1.84933007E+42   1.20441214E+41
    19.300   1.51189686E+42   9.84652207E+40
    21.300   1.29834370E+42   8.45571566E+40
    23.200   1.12591383E+42   7.33273264E+40
    23.300   1.11668296E+42   7.27261479E+40
    25.300   9.27554818E+41   6.04088100E+40
    28.200   7.66331544E+41   4.99088309E+40
    30.200   6.86058304E+41   4.46808802E+40
    34.200   5.78784539E+41   3.76944678E+40
    37.200   5.44160487E+41   3.54395092E+40
    38.200   5.27390979E+41   3.43473624E+40
    39.200   5.11701155E+41   3.33255320E+40
    41.200   4.81320793E+41   3.13469520E+40
    43.200   4.50482616E+41   2.93385558E+40
    45.200   4.24343410E+41   2.76361891E+40
    48.200   3.92063015E+41   2.55338657E+40
    51.200   3.57139677E+41   2.32594154E+40
    51.500   3.54999097E+41   2.31200060E+40
    54.200   3.28054104E+41   2.13651610E+40
    57.100   3.15119709E+41   2.05227834E+40
    60.100   2.87652875E+41   1.87339524E+40
    63.200   2.59586491E+41   1.69060747E+40
    68.100   2.43397734E+41   1.58517504E+40
    70.100   2.30246680E+41   1.49952624E+40
    71.100   2.21291876E+41   1.44120634E+40
    73.000   2.26675282E+41   1.47626682E+40
    73.100   2.18466116E+41   1.42280304E+40
    74.100   2.10408866E+41   1.37032863E+40
    79.100   1.92098114E+41   1.25107629E+40
    80.500   1.82526286E+41   1.18873791E+40
    85.100   1.62207037E+41   1.05640485E+40
    97.100   1.23653685E+41   8.05318655E+39
    99.100   1.12437168E+41   7.32268906E+39
   103.900   1.07410663E+41   6.99532818E+39
   104.000   1.08469880E+41   7.06431173E+39
   104.900   1.10744845E+41   7.21247320E+39
   108.900   9.84191633E+40   6.40973926E+39
   110.000   9.65677314E+40   6.28916116E+39
   110.400   9.48195849E+40   6.17530972E+39
   119.000   7.48360487E+40   4.87384309E+39
   122.000   7.04949450E+40   4.59112028E+39
   126.000   6.73899178E+40   4.38889935E+39
   129.000   6.41530071E+40   4.17808925E+39
   131.900   6.01215554E+40   3.91553312E+39
   135.000   5.83842406E+40   3.80238712E+39
   142.300   5.29964820E+40   3.45149887E+39
   202.200   2.07569633E+40   1.35183757E+39
   305.400   4.61407381E+39   3.00500523E+38
   307.600   4.49329413E+39   2.92634512E+38
   311.600   4.27340430E+39   2.78313759E+38
   338.100   3.15185873E+39   2.05270925E+38
   339.200   3.11016015E+39   2.02555223E+38
   433.500   8.77124157E+38   5.71244152E+37
   516.900   3.28614289E+38   2.14016441E+37
   699.100   5.73523063E+37   3.73518039E+36
