#generated on Mon Mar 21 17:17:16 2016 using mklcbol.pro
#
#INFILE   2003hv_bol.dat
#NAME     SN2003hv
#AV_HOST  0.000 +/- 0.013
#RV_HOST  3.100 +/- 0.200
#AV_MW    0.048 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 31.370 +/- 0.100
#NFILT    8 (U_Bessell,B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_MKO,H_MKO,K_MKO)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
     1.200   9.60878641E+42   6.25790887E+41
     1.300   9.14660274E+42   5.95690277E+41
     2.200   8.72447779E+42   5.68198569E+41
     3.200   8.56894075E+42   5.58068918E+41
     4.200   8.11614194E+42   5.28579516E+41
     5.100   7.56844701E+42   4.92909819E+41
     5.200   7.50357921E+42   4.88685177E+41
     5.300   7.46795314E+42   4.86364960E+41
     6.200   6.76869585E+42   4.40824470E+41
     6.300   6.70642487E+42   4.36768952E+41
     7.300   6.02684679E+42   3.92510109E+41
     8.100   5.62687003E+42   3.66460845E+41
     8.300   5.50180971E+42   3.58316049E+41
    10.200   4.56675661E+42   2.97418899E+41
    11.100   4.35868788E+42   2.83868018E+41
    11.300   4.28056207E+42   2.78779923E+41
    12.300   3.83129138E+42   2.49520296E+41
    13.300   3.63153883E+42   2.36511023E+41
    14.100   3.72120877E+42   2.42350952E+41
    15.100   3.60846378E+42   2.35008216E+41
    15.200   3.41089147E+42   2.22140935E+41
    15.300   3.41106383E+42   2.22152160E+41
    16.100   3.41704431E+42   2.22541651E+41
    17.100   3.27898903E+42   2.13550533E+41
    19.100   2.91393084E+42   1.89775408E+41
    19.300   2.84092675E+42   1.85020875E+41
    21.300   2.55085405E+42   1.66129327E+41
    23.000   2.30779011E+42   1.50299315E+41
    23.200   2.30198587E+42   1.49921303E+41
    23.300   2.28357778E+42   1.48722441E+41
    25.300   1.89860205E+42   1.23650148E+41
    26.100   1.77762710E+42   1.15771419E+41
    28.200   1.53343546E+42   9.98679640E+40
    29.000   1.45526666E+42   9.47770692E+40
    30.200   1.35463081E+42   8.82229641E+40
    32.000   1.22987918E+42   8.00982713E+40
    34.200   1.10834341E+42   7.21830182E+40
    35.100   1.07047404E+42   6.97167020E+40
    37.200   1.00676040E+42   6.55672271E+40
    38.000   9.77615662E+41   6.36691197E+40
    38.200   9.79738968E+41   6.38074042E+40
    39.200   9.37394178E+41   6.10496174E+40
    41.000   8.59629215E+41   5.59850231E+40
    41.200   8.60478239E+41   5.60403174E+40
    43.200   7.98045574E+41   5.19742688E+40
    45.000   7.51812354E+41   4.89632405E+40
    45.200   7.46791935E+41   4.86362759E+40
    48.200   6.73564901E+41   4.38672231E+40
    51.200   6.19940659E+41   4.03748401E+40
    51.500   6.13518813E+41   3.99566049E+40
    54.200   5.51675907E+41   3.59289655E+40
    55.000   5.36702908E+41   3.49538198E+40
    57.100   5.18768652E+41   3.37858165E+40
    60.100   4.67915066E+41   3.04738779E+40
    62.000   4.43668710E+41   2.88947869E+40
    63.200   4.20761751E+41   2.74029267E+40
    68.100   3.74236555E+41   2.43728829E+40
    70.100   3.56117388E+41   2.31928369E+40
    71.100   3.42173067E+41   2.22846859E+40
    73.000   3.41087403E+41   2.22139799E+40
    73.100   3.32409209E+41   2.16487956E+40
    74.100   3.16805804E+41   2.06325936E+40
    79.100   2.93346090E+41   1.91047341E+40
    80.500   2.77315136E+41   1.80606871E+40
    85.100   2.42371870E+41   1.57849390E+40
    97.100   1.86537338E+41   1.21486066E+40
    99.100   1.70333137E+41   1.10932765E+40
   103.900   1.59161454E+41   1.03656990E+40
   104.000   1.60567315E+41   1.04572584E+40
   104.900   1.67107086E+41   1.08831737E+40
   108.900   1.43876853E+41   9.37025963E+39
   110.000   1.38710735E+41   9.03380617E+39
   110.400   1.35857390E+41   8.84797652E+39
   119.000   1.11074211E+41   7.23392384E+39
   122.000   1.03974167E+41   6.77151967E+39
   126.000   9.69642774E+40   6.31498699E+39
   129.000   9.18002169E+40   5.97866751E+39
   131.900   8.61313880E+40   5.60947402E+39
   135.000   8.36594102E+40   5.44848166E+39
   142.300   7.60802859E+40   4.95487646E+39
   202.200   3.15764604E+40   2.05647835E+39
   305.400   7.16900730E+39   4.66895531E+38
   307.600   6.98829605E+39   4.55126360E+38
   311.600   6.66098230E+39   4.33809416E+38
   338.100   5.03150209E+39   3.27686351E+38
