#generated on Mon Oct 20 15:10:01 2014 using mklcbol.pro
#
#INFILE   02fk_lc_bol.dat
#NAME     02fk
#AV_HOST  0.030 +/- 0.030
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 32.500 +/- 0.150
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 52538.801   7.46787308E+42   1.99464115E+42
 52539.699   8.41378326E+42   2.24641474E+42
 52540.699   9.47910109E+42   2.53050384E+42
 52541.699   1.05374242E+43   2.81237074E+42
 52542.699   1.15260910E+43   3.07749559E+42
 52543.898   1.25911940E+43   3.36421390E+42
 52544.699   1.31897504E+43   3.52729075E+42
 52546.602   1.41777344E+43   3.80003633E+42
 52547.898   1.44060683E+43   3.86692779E+42
 52548.898   1.43183694E+43   3.84635991E+42
 52555.898   1.10963866E+43   2.98676815E+42
 52560.699   8.20847395E+42   2.20858093E+42
 52561.801   7.54089129E+42   2.02763305E+42
 52562.699   7.05913040E+42   1.89681348E+42
 52567.801   4.76664214E+42   1.27648290E+42
 52568.801   4.55064601E+42   1.21756090E+42
 52570.602   4.25459791E+42   1.13655812E+42
 52571.801   4.15710409E+42   1.11009795E+42
 52571.898   4.21989769E+42   1.12706132E+42
 52572.801   4.07982748E+42   1.08922508E+42
 52572.898   4.06886689E+42   1.08626381E+42
 52576.898   3.67034200E+42   9.78936838E+41
 52577.898   3.53058091E+42   9.41303399E+41
 52585.801   2.43427670E+42   6.47401238E+41
 52586.898   2.30316114E+42   6.12442904E+41
 52590.801   1.92738931E+42   5.13033886E+41
 52593.801   1.68995416E+42   4.50199475E+41
 52596.699   1.50744109E+42   4.01934810E+41
 52597.500   1.46329452E+42   3.90204864E+41
 52600.602   1.30821211E+42   3.49195084E+41
 52610.699   9.55184606E+41   2.55697608E+41
 52612.801   9.07808456E+41   2.43136802E+41
 52615.699   8.39989400E+41   2.25125387E+41
 52617.500   8.00152885E+41   2.14539403E+41
 52619.699   7.54498954E+41   2.02403317E+41
 52631.602   5.54072803E+41   1.48944403E+41
 52646.699   3.81185553E+41   1.02630616E+41
