#generated on Tue Oct 21 18:01:18 2014 using mklcbol.pro
#
#INFILE   02dj_lc_bol.dat
#NAME     SN2002dj
#AV_HOST  0.150 +/- 0.030
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 32.930 +/- 0.150
#NFILT    7 (U_Astier,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 52439.102   2.24637541E+42   3.61446080E+41
 52439.898   2.87436557E+42   4.62472163E+41
 52440.000   2.96164383E+42   4.76524888E+41
 52441.102   4.00084561E+42   6.44366110E+41
 52444.102   7.45447724E+42   1.20581840E+42
 52446.000   9.59939739E+42   1.55594220E+42
 52450.000   1.14702127E+43   1.86252923E+42
 52452.801   9.75279883E+42   1.58371183E+42
 52452.898   9.21807867E+42   1.49637297E+42
 52453.102   9.16169499E+42   1.48802794E+42
 52453.898   8.93222304E+42   1.45112442E+42
 52455.000   8.47199583E+42   1.37676105E+42
 52456.000   8.02252649E+42   1.30484531E+42
 52458.000   7.22291626E+42   1.17523283E+42
 52458.102   7.15354425E+42   1.16391840E+42
 52460.000   6.25054413E+42   1.01706181E+42
 52463.000   5.04153769E+42   8.19763670E+41
 52464.000   4.72227322E+42   7.67774444E+41
 52465.000   4.43848690E+42   7.21215512E+41
 52467.000   4.01712928E+42   6.51814242E+41
 52470.000   3.63279441E+42   5.88005193E+41
 52473.000   3.42634933E+42   5.53266901E+41
 52473.102   3.41520849E+42   5.51434993E+41
 52476.000   3.04555630E+42   4.90627682E+41
 52479.898   2.81275440E+42   4.52268837E+41
 52481.000   2.73620473E+42   4.39661293E+41
 52484.000   2.46252235E+42   3.95831848E+41
 52484.801   2.38245026E+42   3.83018753E+41
 52487.000   2.14371875E+42   3.45095876E+41
 52494.000   1.41191414E+42   2.27522814E+41
 52495.000   1.31990893E+42   2.12662169E+41
