#generated on Tue Feb  3 11:08:39 2015 using mklcbol.pro
#
#INFILE   SN2004ef_bol.dat
#NAME     SN2004ef
#AV_HOST  0.490 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.143 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.578 +/- 0.000
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53256.125   4.92018829E+42   3.17241053E+41
 53257.137   5.86028629E+42   3.77844128E+41
 53258.113   6.72490351E+42   4.33638250E+41
 53259.109   7.53540830E+42   4.86028848E+41
 53260.117   8.25262903E+42   5.32447740E+41
 53261.082   8.72911219E+42   5.63326378E+41
 53262.055   9.03585009E+42   5.83220955E+41
 53263.078   9.27366224E+42   5.98669950E+41
 53264.090   9.33312641E+42   6.02454713E+41
 53265.137   9.25234548E+42   5.97114111E+41
 53266.109   9.05879560E+42   5.84533002E+41
 53267.105   8.76957995E+42   5.65786529E+41
 53268.117   8.27839991E+42   5.33931097E+41
 53269.094   7.81471159E+42   5.03958474E+41
 53270.086   7.36128774E+42   4.74720654E+41
 53271.082   6.86065262E+42   4.42472376E+41
 53272.129   6.33321089E+42   4.08377018E+41
 53273.168   5.75807760E+42   3.71196935E+41
 53274.117   5.33282951E+42   3.43694141E+41
 53275.156   4.84168903E+42   3.11810232E+41
 53276.113   4.47424057E+42   2.87885506E+41
 53277.086   4.15203322E+42   2.66931766E+41
 53278.094   3.81322680E+42   2.44815833E+41
 53279.102   3.50901121E+42   2.24973234E+41
 53280.090   3.25191528E+42   2.08211020E+41
 53281.078   3.05874159E+42   1.95629518E+41
 53282.074   2.88996676E+42   1.84618557E+41
 53287.094   2.10373276E+42   1.33690371E+41
 53289.102   1.78818924E+42   1.13485576E+41
 53290.090   1.65130790E+42   1.04813069E+41
 53291.074   1.52536599E+42   9.68174739E+40
 53292.078   1.41667694E+42   8.99342149E+40
 53294.074   1.25138513E+42   7.95035586E+40
 53295.105   1.18719635E+42   7.54517344E+40
 53298.055   1.05447779E+42   6.70671721E+40
 53300.074   9.86560070E+41   6.27822211E+40
 53301.059   9.51069335E+41   6.05276532E+40
 53302.074   9.36747845E+41   5.96592721E+40
 53303.070   9.10877460E+41   5.80024916E+40
 53305.090   8.56383054E+41   5.45534708E+40
 53307.125   8.18031616E+41   5.21575234E+40
 53308.082   8.05577762E+41   5.13805772E+40
 53309.074   7.90288261E+41   5.04167029E+40
 53310.074   7.74317971E+41   4.94155320E+40
 53311.078   7.48417651E+41   4.77569427E+40
 53312.051   7.28864235E+41   4.65141529E+40
 53321.062   5.85790661E+41   3.74461169E+40
