#generated on Tue Feb  3 11:08:50 2015 using mklcbol.pro
#
#INFILE   SN2004gs_bol.dat
#NAME     SN2004gs
#AV_HOST  0.459 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.081 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.402 +/- 0.000
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53352.332   5.20319486E+42   3.68104630E+41
 53353.301   5.54702630E+42   3.92573326E+41
 53356.324   5.95137383E+42   4.21306826E+41
 53357.266   5.88202388E+42   4.16323892E+41
 53361.250   4.88549141E+42   3.45326186E+41
 53362.258   4.51880208E+42   3.19282770E+41
 53363.281   4.15322615E+42   2.93282684E+41
 53365.242   3.52062689E+42   2.48232191E+41
 53372.242   1.92122409E+42   1.34436516E+41
 53373.281   1.76147492E+42   1.23119341E+41
 53376.297   1.45001594E+42   1.01073318E+41
 53377.227   1.34849509E+42   9.39726525E+40
 53380.254   1.05913639E+42   7.37004687E+40
 53381.238   9.84077520E+41   6.84670715E+40
 53383.254   8.46945713E+41   5.90037302E+40
 53384.207   7.99801625E+41   5.57518201E+40
 53385.246   7.65875626E+41   5.34159059E+40
 53386.223   7.35688578E+41   5.13408913E+40
 53387.238   6.98725232E+41   4.87473936E+40
 53388.223   6.61846441E+41   4.61604568E+40
 53389.191   6.44817625E+41   4.50116909E+40
