#generated on Wed Aug 13 10:56:38 2014 using mklcbol.pro
#
#INFILE   SN2004gu_lc_bol.dat
#NAME     SN2004gu
#AV_HOST  0.200 +/- 0.113
#RV_HOST  1.900 +/- 0.290
#AV_MW    0.066 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.590 +/- 0.050
#NFILT    5 (B_Bessell,V_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53378.352   5.55212654E+42   2.09267490E+42
 53380.340   4.92229621E+42   1.84937446E+42
 53381.328   4.62792072E+42   1.73519785E+42
 53384.312   4.06137142E+42   1.51230883E+42
 53385.344   3.86192369E+42   1.43403220E+42
 53386.301   3.67176958E+42   1.35897517E+42
 53387.285   3.53764443E+42   1.30530594E+42
 53388.312   3.44261474E+42   1.26633557E+42
 53390.336   3.22256150E+42   1.17696326E+42
 53391.309   3.14073573E+42   1.14379079E+42
 53392.367   3.06369220E+42   1.10977167E+42
 53393.316   3.02178897E+42   1.09276434E+42
 53394.305   2.94123637E+42   1.06101852E+42
 53398.348   2.52429791E+42   9.05109332E+41
 53399.320   2.42206219E+42   8.67424324E+41
 53401.312   2.22020697E+42   7.93511713E+41
 53402.348   2.05231004E+42   7.31857374E+41
 53403.301   1.92350506E+42   6.85664830E+41
 53404.320   1.80961153E+42   6.44777967E+41
 53405.379   1.72384633E+42   6.14080906E+41
 53406.316   1.70685399E+42   6.07621696E+41
 53408.301   1.60465494E+42   5.71733842E+41
 53409.355   1.56899792E+42   5.59491389E+41
 53410.316   1.54265795E+42   5.50706881E+41
