#generated on Mon Feb  2 12:48:03 2015 using mklcbol.pro
#
#INFILE   SN2004gu_lc_bolu.dat
#NAME     SN2004gu
#AV_HOST  0.200 +/- 0.113
#RV_HOST  1.900 +/- 0.290
#AV_MW    0.066 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.590 +/- 0.050
#NFILT    4 (B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53361.328   8.81316793E+42   3.40193191E+42
 53362.352   8.82492206E+42   3.40577938E+42
 53363.348   8.77895586E+42   3.38775181E+42
 53365.332   8.63386766E+42   3.33162691E+42
 53369.344   7.73238398E+42   2.98307217E+42
 53372.336   6.59372377E+42   2.54289547E+42
 53373.336   6.19958083E+42   2.39079438E+42
 53376.340   5.12708571E+42   1.97585016E+42
 53377.340   4.80817646E+42   1.85175377E+42
 53380.340   3.97533918E+42   1.52695221E+42
 53381.328   3.72748121E+42   1.43036728E+42
 53384.312   3.24106079E+42   1.24035583E+42
 53385.344   3.05601843E+42   1.16809608E+42
 53386.301   2.88925268E+42   1.10300946E+42
 53387.285   2.75670687E+42   1.05111137E+42
 53388.312   2.64961830E+42   1.00897609E+42
 53390.336   2.40147476E+42   9.12357593E+41
 53391.309   2.31428546E+42   8.78903032E+41
 53393.316   2.12338455E+42   8.05189676E+41
 53394.305   2.03337020E+42   7.70467680E+41
 53395.309   1.92955433E+42   7.30515644E+41
 53399.320   1.58350695E+42   5.99318331E+41
 53401.312   1.45569073E+42   5.51190927E+41
 53402.348   1.34683637E+42   5.09701260E+41
 53403.301   1.27395628E+42   4.82662600E+41
 53404.320   1.20325928E+42   4.56116062E+41
 53406.316   1.14332947E+42   4.33608556E+41
