#generated on Tue Aug 19 14:41:38 2014 using mklcbol.pro
#
#INFILE   SN2005M_lc_bol.dat
#NAME     SN2005M
#AV_HOST  0.320 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.000 +/- 0.200
#NFILT    7 (B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53397.203   7.57829105E+42   2.20576699E+42
 53398.207   8.42059096E+42   2.45288836E+42
 53399.188   9.13886077E+42   2.66434481E+42
 53400.195   9.75011437E+42   2.84435491E+42
 53401.176   1.01941884E+43   2.97497030E+42
 53402.172   1.05699691E+43   3.08587144E+42
 53403.219   1.08545119E+43   3.16967863E+42
 53404.211   1.10517472E+43   3.22712662E+42
 53405.238   1.10682960E+43   3.23388349E+42
 53406.219   1.09736778E+43   3.20817488E+42
 53407.262   1.07924664E+43   3.15641737E+42
 53408.223   1.05986273E+43   3.10061156E+42
 53409.223   1.03950809E+43   3.04145563E+42
 53410.238   1.01420579E+43   2.96762780E+42
 53411.223   9.81058339E+42   2.87029320E+42
 53412.211   9.48611705E+42   2.77519216E+42
 53413.168   9.14214491E+42   2.67472944E+42
 53414.168   8.75084845E+42   2.55972510E+42
 53415.223   8.28452338E+42   2.42243576E+42
 53416.152   7.86247533E+42   2.29803670E+42
 53417.203   7.40342275E+42   2.16257168E+42
 53418.168   6.96794051E+42   2.03421243E+42
 53419.168   6.53405134E+42   1.90592592E+42
 53420.234   6.07007372E+42   1.76829696E+42
 53421.207   5.74066230E+42   1.67056592E+42
 53422.133   5.47823441E+42   1.59218054E+42
 53424.168   5.00579356E+42   1.45057953E+42
 53425.160   4.79677849E+42   1.38786839E+42
 53426.164   4.67143524E+42   1.34949253E+42
 53427.164   4.52819337E+42   1.30606006E+42
 53428.121   4.40768677E+42   1.26920748E+42
 53429.137   4.28303253E+42   1.23123977E+42
 53430.039   4.16166733E+42   1.19525190E+42
 53431.105   4.01115881E+42   1.15040468E+42
 53432.141   3.87894082E+42   1.11116676E+42
 53433.121   3.75130802E+42   1.07366400E+42
 53436.148   3.45304472E+42   9.86100902E+41
 53438.137   3.24146374E+42   9.24383948E+41
 53444.156   2.52910184E+42   7.18635233E+41
 53445.152   2.41420122E+42   6.85696258E+41
 53446.156   2.28887586E+42   6.49776932E+41
 53453.066   1.75579781E+42   4.98310001E+41
 53454.094   1.72935135E+42   4.91083885E+41
 53455.066   1.67270100E+42   4.75148889E+41
 53456.078   1.59882588E+42   4.54091798E+41
 53457.082   1.54771517E+42   4.39813849E+41
 53458.066   1.50559419E+42   4.28189296E+41
 53459.055   1.45849561E+42   4.14999259E+41
 53460.055   1.41158858E+42   4.01811265E+41
 53461.145   1.36582427E+42   3.88985432E+41
