#generated on Thu Dec  3 17:43:15 2015 using mklcbol.pro
#
#INFILE   SN2005M_bol.dat
#NAME     SN2005M
#AV_HOST  0.102 +/- 0.036
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.084 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.004 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53397.203   7.63207030E+42   1.54308964E+42
 53398.207   8.50856487E+42   1.72127012E+42
 53399.188   9.25004875E+42   1.87373218E+42
 53400.195   9.89603342E+42   2.00563403E+42
 53401.176   1.03648481E+43   2.10156617E+42
 53402.172   1.07385485E+43   2.17970158E+42
 53403.219   1.09934128E+43   2.23382859E+42
 53404.211   1.11146081E+43   2.26068025E+42
 53405.238   1.10967223E+43   2.26062669E+42
 53406.219   1.09823947E+43   2.24038499E+42
 53407.262   1.07860132E+43   2.20218680E+42
 53408.223   1.05246965E+43   2.14911756E+42
 53409.223   1.02493804E+43   2.09210562E+42
 53410.238   9.96252534E+42   2.03357802E+42
 53411.223   9.58882470E+42   1.95626343E+42
 53412.211   9.20929588E+42   1.87773922E+42
 53413.168   8.82215542E+42   1.79965904E+42
 53414.168   8.39438257E+42   1.71159653E+42
 53415.223   7.89766868E+42   1.60914456E+42
 53416.152   7.45776359E+42   1.51839544E+42
 53417.203   6.97910399E+42   1.41933975E+42
 53418.168   6.52711366E+42   1.32649150E+42
 53419.168   6.09596265E+42   1.23709154E+42
 53420.234   5.64883389E+42   1.14295587E+42
 53421.207   5.32120738E+42   1.07433592E+42
 53422.133   5.02984649E+42   1.01260723E+42
 53424.168   4.53829558E+42   9.07557497E+41
 53425.160   4.33546052E+42   8.64080203E+41
 53426.164   4.20814458E+42   8.36715036E+41
 53427.164   4.06648179E+42   8.04631760E+41
 53428.121   3.92612581E+42   7.74538705E+41
 53429.137   3.79087087E+42   7.45457550E+41
 53430.039   3.68238094E+42   7.22344381E+41
 53431.105   3.53204192E+42   6.91103288E+41
 53432.141   3.39676582E+42   6.63392634E+41
 53433.121   3.27608751E+42   6.38606696E+41
 53436.148   3.01528647E+42   5.84902805E+41
 53438.137   2.82678272E+42   5.46884978E+41
 53444.156   2.15372274E+42   4.14980004E+41
 53445.152   2.04297256E+42   3.93574156E+41
 53446.156   1.92141668E+42   3.70057690E+41
 53453.066   1.42751314E+42   2.75321524E+41
 53454.094   1.40982724E+42   2.72373697E+41
 53455.066   1.37056816E+42   2.65034653E+41
 53456.078   1.31973018E+42   2.55201390E+41
 53457.082   1.28237938E+42   2.48358787E+41
