#generated on Fri Apr 17 11:50:08 2015 using mklcbol.pro
#
#INFILE   SN2005W_bol.dat
#NAME     SN2005W
#AV_HOST  0.500 +/- 0.078
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.189 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.650 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53404.023   4.53114732E+42   6.06142316E+41
 53406.035   5.90925408E+42   7.90633454E+41
 53408.027   7.01793253E+42   9.39358578E+41
 53409.023   7.39251286E+42   9.89616038E+41
 53410.023   7.67111561E+42   1.02708371E+42
 53411.023   7.74650342E+42   1.03733761E+42
 53412.023   7.80819339E+42   1.04560603E+42
 53413.023   7.78850949E+42   1.04298667E+42
 53414.016   7.59469496E+42   1.01704113E+42
 53415.016   7.38898854E+42   9.89526212E+41
 53416.012   7.14732408E+42   9.56989791E+41
 53417.016   6.80989470E+42   9.11616383E+41
 53418.016   6.45565130E+42   8.64021746E+41
 53419.012   6.11818807E+42   8.18687453E+41
 53420.004   5.71199922E+42   7.64149003E+41
 53421.012   5.22964120E+42   6.99489054E+41
 53422.004   4.80245810E+42   6.42242388E+41
 53425.008   3.86607218E+42   5.16632696E+41
 53426.000   3.51232417E+42   4.68995848E+41
 53427.004   3.24295589E+42   4.32690946E+41
