#generated on Wed Feb  4 15:15:31 2015 using mklcbol.pro
#
#INFILE   SN2005al_bol.dat
#NAME     SN2005al
#AV_HOST  0.068 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.149 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.798 +/- 0.000
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53429.246   6.85968760E+42   1.79744097E+41
 53430.285   6.90919565E+42   1.81064955E+41
 53431.312   6.83540799E+42   1.79118985E+41
 53432.297   6.65117982E+42   1.74286826E+41
 53436.285   5.49587870E+42   1.43971359E+41
 53444.305   2.81825253E+42   7.36906669E+40
 53445.309   2.60203532E+42   6.79673083E+40
 53446.316   2.41605043E+42   6.30330043E+40
 53452.254   1.65113447E+42   4.27431128E+40
 53453.191   1.54971775E+42   4.00716693E+40
 53454.238   1.42805465E+42   3.68877687E+40
 53455.281   1.31918556E+42   3.40540386E+40
 53456.285   1.22974908E+42   3.17383340E+40
 53457.258   1.13716783E+42   2.93414643E+40
 53458.254   1.05240821E+42   2.71526881E+40
 53459.281   9.80566905E+41   2.53030798E+40
 53460.215   9.23891901E+41   2.38466936E+40
 53461.188   8.70820284E+41   2.24800957E+40
 53464.293   7.42376575E+41   1.91733483E+40
 53465.289   7.17617420E+41   1.85414069E+40
 53466.297   7.00145243E+41   1.80924863E+40
 53467.273   6.73151486E+41   1.73993738E+40
 53468.242   6.48127305E+41   1.67582966E+40
 53473.199   5.63525646E+41   1.45848976E+40
 53474.328   5.43993170E+41   1.40824891E+40
 53475.211   5.28608330E+41   1.36878576E+40
 53476.305   5.13991447E+41   1.33123431E+40
 53477.340   4.98818161E+41   1.29220456E+40
 53478.258   4.84415387E+41   1.25505077E+40
 53479.234   4.74854191E+41   1.23058742E+40
 53480.238   4.65562586E+41   1.20674509E+40
 53483.230   4.38255078E+41   1.13673375E+40
 53490.215   3.66580358E+41   9.52294707E+39
 53491.219   3.58097723E+41   9.30471440E+39
 53512.273   2.49127553E+41   6.50438991E+39
