#generated on Tue Oct 28 15:58:26 2014 using mklcbol.pro
#
#INFILE   SN2005bl_lc_bolu.dat
#NAME     SN2005bl
#AV_HOST  0.375 +/- 0.030
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.075 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.200 +/- 0.050
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53476.086   7.17799906E+41   6.92597919E+40
 53477.109   8.98010476E+41   8.66164523E+40
 53478.133   1.07192836E+42   1.03362288E+41
 53479.121   1.22867047E+42   1.18411816E+41
 53480.125   1.35844071E+42   1.30818942E+41
 53481.082   1.45600091E+42   1.40135823E+41
 53483.098   1.59570037E+42   1.53338785E+41
 53484.125   1.60241212E+42   1.53817951E+41
 53489.070   1.11863423E+42   1.06765524E+41
 53490.078   9.96710067E+41   9.50188580E+40
 53491.043   8.93830711E+41   8.51239766E+40
