#generated on Fri Feb 20 13:53:18 2015 using mklcbol.pro
#
#INFILE   SN2005el_bol.dat
#NAME     SN2005el
#AV_HOST  0.047 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.304 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.048 +/- 0.000
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53639.355   5.20594641E+42   5.74869403E+40
 53641.359   6.66432050E+42   7.36326769E+40
 53644.348   7.99799332E+42   8.84252379E+40
 53650.395   7.79083914E+42   8.62425730E+40
 53655.324   5.38145198E+42   5.95718404E+40
 53659.277   3.79923608E+42   4.19734301E+40
 53663.297   2.73533030E+42   3.00775997E+40
 53665.320   2.38627658E+42   2.61659414E+40
 53666.281   2.22907961E+42   2.44070881E+40
 53669.312   1.78957226E+42   1.95192025E+40
 53671.320   1.54605022E+42   1.68412614E+40
 53673.309   1.34250815E+42   1.46224401E+40
 53675.328   1.17940554E+42   1.28504576E+40
 53682.312   8.38856651E+41   9.15240742E+39
 53683.301   8.04957268E+41   8.78396085E+39
 53687.270   7.14929600E+41   7.80870481E+39
 53689.297   6.75003295E+41   7.37484083E+39
 53690.320   6.55925346E+41   7.16834566E+39
 53694.312   5.84921411E+41   6.39887041E+39
 53698.262   5.34159886E+41   5.84852091E+39
 53699.254   5.19479964E+41   5.68830218E+39
 53702.250   4.79880162E+41   5.25811630E+39
 53712.227   3.78326033E+41   4.15517600E+39
 53721.203   3.08345614E+41   3.39336981E+39
 53730.238   2.51764393E+41   2.77526458E+39
