#generated on Wed Oct 22 16:03:37 2014 using mklcbol.pro
#
#INFILE   SN2005eq_lc_bolu.dat
#NAME     SN2005eq
#AV_HOST  0.200 +/- 0.024
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.200 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.460 +/- 0.200
#NFILT    2 (J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53648.215   2.77886270E+41   4.02452245E+40
 53653.262   2.50731443E+41   3.63513040E+40
 53656.238   2.32160380E+41   3.36642590E+40
 53660.227   1.63536991E+41   2.35996139E+40
 53664.203   9.58514153E+40   1.37224629E+40
 53668.258   6.52835766E+40   9.28291871E+39
 53672.285   5.84834553E+40   8.26550844E+39
 53677.293   5.16358353E+40   7.22010314E+39
 53680.258   5.84541953E+40   8.18285435E+39
 53686.289   8.61613630E+40   1.21918880E+40
 53692.215   8.30582776E+40   1.17902540E+40
