#generated on Tue Aug 19 15:30:27 2014 using mklcbol.pro
#
#INFILE   SN2005hc_lc_bol.dat
#NAME     SN2005hc
#AV_HOST  0.330 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.500 +/- 0.050
#NFILT    7 (B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53662.195   1.13396926E+43   2.91265539E+42
 53663.168   1.17563472E+43   3.02248229E+42
 53664.141   1.20921810E+43   3.11133871E+42
 53665.141   1.23493353E+43   3.17980818E+42
 53666.203   1.24423203E+43   3.20564283E+42
 53668.137   1.23579682E+43   3.18636411E+42
 53669.137   1.21874078E+43   3.14325651E+42
 53670.172   1.19265793E+43   3.07692979E+42
 53671.219   1.15971330E+43   2.99215785E+42
 53672.227   1.12095708E+43   2.89320664E+42
 53673.199   1.07821929E+43   2.78292140E+42
 53674.262   1.03119754E+43   2.66055534E+42
 53675.184   9.76522731E+42   2.51806401E+42
 53676.242   9.21627044E+42   2.37468159E+42
 53678.125   8.28368377E+42   2.13124653E+42
 53682.230   6.41359602E+42   1.64292439E+42
 53684.184   5.80835174E+42   1.48414090E+42
 53685.195   5.54794775E+42   1.41556915E+42
 53687.188   5.10530535E+42   1.29841081E+42
 53690.203   4.60252428E+42   1.16513290E+42
 53692.137   4.34494910E+42   1.09630563E+42
 53695.242   4.01135064E+42   1.00681578E+42
 53696.195   3.95677235E+42   9.90056901E+41
