#generated on Tue May  5 15:30:11 2015 using mklcbol.pro
#
#INFILE   SN2005hc_bol.dat
#NAME     SN2005hc
#AV_HOST  0.152 +/- 0.059
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.087 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 36.499 +/- 0.100
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53662.195   8.90748411E+42   2.09569774E+42
 53663.168   9.39596109E+42   2.21095328E+42
 53665.141   1.00050523E+43   2.35471585E+42
 53666.203   1.01103746E+43   2.37958842E+42
 53669.137   9.85349461E+42   2.31870148E+42
 53671.219   9.28854068E+42   2.18489341E+42
 53673.199   8.59033530E+42   2.02016213E+42
 53675.184   7.73373479E+42   1.81805265E+42
 53682.230   4.83425060E+42   1.13478683E+42
 53684.184   4.22495778E+42   9.91036585E+41
 53687.188   3.51998222E+42   8.23747499E+41
 53690.203   2.99591268E+42   6.99526985E+41
