#generated on Wed Oct 22 16:08:35 2014 using mklcbol.pro
#
#INFILE   SN2005iq_lc_bolu.dat
#NAME     SN2005iq
#AV_HOST  0.160 +/- 0.000
#RV_HOST  4.000 +/- 0.290
#AV_MW    0.048 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.800 +/- 0.150
#NFILT    2 (J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53685.074   2.28186975E+41   2.60223502E+40
 53686.113   2.33319131E+41   2.67442521E+40
 53688.102   2.02921851E+41   2.33034571E+40
 53692.047   1.19764505E+41   1.36366040E+40
 53696.094   6.22924808E+40   6.94400235E+39
 53700.137   4.65190102E+40   5.15403958E+39
 53705.117   4.91383481E+40   5.44776763E+39
 53710.051   5.16205482E+40   5.68000010E+39
 53715.090   5.83377036E+40   6.48115815E+39
 53718.066   5.73670717E+40   6.39618065E+39
 53721.066   5.31037548E+40   5.93635747E+39
