#generated on Thu Dec  3 17:43:58 2015 using mklcbol.pro
#
#INFILE   SN2005iq_bol.dat
#NAME     SN2005iq
#AV_HOST  0.068 +/- 0.025
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.059 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.802 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53685.074   9.72932013E+42   2.03210674E+42
 53686.113   9.91402762E+42   2.07240430E+42
 53687.035   9.91839630E+42   2.07507067E+42
 53688.102   9.79882342E+42   2.05314510E+42
 53689.117   9.57295398E+42   2.00656519E+42
 53690.062   9.25777131E+42   1.94043902E+42
 53692.047   8.39174055E+42   1.75949638E+42
 53694.105   7.32936667E+42   1.53812422E+42
 53695.105   6.77941742E+42   1.42297148E+42
 53696.094   6.23899730E+42   1.31029413E+42
 53698.066   5.24748546E+42   1.10007583E+42
 53699.098   4.82004036E+42   1.00850137E+42
 53700.137   4.44819256E+42   9.28053159E+41
 53702.102   3.90983065E+42   8.09102587E+41
 53705.117   3.30981112E+42   6.76294090E+41
 53706.125   3.25936153E+42   6.62910228E+41
 53710.051   2.82465067E+42   5.66691770E+41
 53715.090   2.28263809E+42   4.52489354E+41
 53716.102   2.14714424E+42   4.25202653E+41
 53718.066   1.95482866E+42   3.86213377E+41
 53721.070   1.60760851E+42   3.17374954E+41
