#generated on Thu Aug 21 16:07:20 2014 using mklcbol.pro
#
#INFILE   SN2005ki_lc_bol.dat
#NAME     SN2005ki
#AV_HOST  0.050 +/- 0.013
#RV_HOST  3.600 +/- 0.290
#AV_MW    0.054 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 34.730 +/- 0.100
#NFILT    4 (B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53695.352   2.13919923E+42   2.89295955E+41
 53702.320   6.46765257E+42   8.76300602E+41
 53703.348   6.75946229E+42   9.15998550E+41
 53706.336   6.93699169E+42   9.39989025E+41
 53707.344   6.80989952E+42   9.22664268E+41
 53712.328   5.31064302E+42   7.19647544E+41
 53713.352   4.91958855E+42   6.66652024E+41
 53716.348   3.80763282E+42   5.15501760E+41
 53720.316   2.78108845E+42   3.74876006E+41
 53721.336   2.59756410E+42   3.49674656E+41
 53728.344   1.59820311E+42   2.13474989E+41
 53730.344   1.37059371E+42   1.82929064E+41
 53736.305   9.28657280E+41   1.24050054E+41
 53738.348   8.52253619E+41   1.13918298E+41
 53740.348   7.91057651E+41   1.05789858E+41
 53741.312   7.60548039E+41   1.01717827E+41
 53745.262   6.70599038E+41   8.97316109E+40
 53748.254   6.22651649E+41   8.33805916E+40
 53751.289   5.72331846E+41   7.66793349E+40
 53752.277   5.56639573E+41   7.45891484E+40
 53754.242   5.29631122E+41   7.09809900E+40
 53761.262   4.39249689E+41   5.89654056E+40
 53762.270   4.27639299E+41   5.74009316E+40
 53763.266   4.20498125E+41   5.64502395E+40
 53764.277   4.11461558E+41   5.52540485E+40
 53765.262   4.02233660E+41   5.40344214E+40
 53771.238   3.47244049E+41   4.67005661E+40
 53772.328   3.35814124E+41   4.51652827E+40
 53774.230   3.27549512E+41   4.40884509E+40
 53775.102   3.22297462E+41   4.33833614E+40
 53778.238   3.01221870E+41   4.05431102E+40
 53783.184   2.71637890E+41   3.66068497E+40
 53784.242   2.64657285E+41   3.56758297E+40
 53790.203   2.30451402E+41   3.11014654E+40
 53795.223   2.01611519E+41   2.72135107E+40
 53798.227   1.86947643E+41   2.52530572E+40
 53804.234   1.70626060E+41   2.30893092E+40
 53805.156   1.69137982E+41   2.28889982E+40
 53818.156   1.23268634E+41   1.66839681E+40
 53819.180   1.20833549E+41   1.63536032E+40
 53823.133   1.14978307E+41   1.55673124E+40
 53831.109   9.93349456E+40   1.34681865E+40
 53838.129   8.40425586E+40   1.13985803E+40
 53840.094   8.25106774E+40   1.11897919E+40
 53846.125   7.66946000E+40   1.04029453E+40
 53858.035   6.27610508E+40   8.50558308E+39
 53860.992   5.97258289E+40   8.08802366E+39
