#generated on Tue Dec 15 17:28:43 2015 using mklcbol.pro
#
#INFILE   SN2006X_bol.dat
#NAME     SN2006X
#AV_HOST  2.500 +/- 0.044
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.071 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.910 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53776.328   5.45155073E+42   8.75318539E+41
 53777.332   6.69535752E+42   1.07637139E+42
 53778.352   7.99993534E+42   1.28760620E+42
 53779.344   9.22882638E+42   1.48714181E+42
 53780.367   1.03153750E+43   1.66357623E+42
 53782.336   1.18719218E+43   1.91770773E+42
 53783.215   1.21130777E+43   1.95756188E+42
 53784.324   1.24353324E+43   2.01088683E+42
 53785.301   1.25902367E+43   2.03700930E+42
 53786.324   1.26087133E+43   2.04082524E+42
 53787.332   1.25004188E+43   2.02430829E+42
 53788.312   1.22913619E+43   1.99073449E+42
 53789.309   1.19691940E+43   1.93909800E+42
 53790.293   1.14537208E+43   1.85610431E+42
 53795.277   8.42488008E+42   1.36710690E+42
 53796.320   7.80318263E+42   1.26691189E+42
 53797.309   7.25206211E+42   1.17707622E+42
 53798.289   6.67687481E+42   1.08326679E+42
 53799.285   6.25498062E+42   1.01421978E+42
 53800.324   5.89197607E+42   9.54446492E+41
 53802.277   5.36187322E+42   8.67058753E+41
 53803.293   5.15096656E+42   8.32064736E+41
 53804.266   4.99489946E+42   8.06097177E+41
 53805.223   4.87727794E+42   7.86422857E+41
 53807.254   4.64270741E+42   7.47243366E+41
 53808.297   4.51128369E+42   7.25276925E+41
 53809.227   4.38979604E+42   7.04975664E+41
 53810.262   4.25348500E+42   6.81875559E+41
 53813.250   3.77940835E+42   6.03323823E+41
 53815.215   3.40642920E+42   5.42639514E+41
 53817.320   2.97941001E+42   4.74591588E+41
 53818.277   2.76291727E+42   4.39913885E+41
 53819.250   2.61871196E+42   4.16985927E+41
 53820.234   2.48402436E+42   3.95957548E+41
 53824.234   2.07836067E+42   3.32176792E+41
 53826.266   1.92730803E+42   3.08441988E+41
 53829.230   1.75490343E+42   2.81371054E+41
 53830.234   1.70771790E+42   2.73966855E+41
 53831.195   1.67318235E+42   2.68602952E+41
 53832.266   1.62136005E+42   2.60451609E+41
 53833.246   1.57530375E+42   2.53212574E+41
 53835.152   1.49727862E+42   2.40886081E+41
 53838.188   1.36558461E+42   2.19974080E+41
 53839.172   1.32947299E+42   2.14261164E+41
 53841.215   1.27536779E+42   2.05808886E+41
