#generated on Tue Dec 15 17:28:04 2015 using mklcbol.pro
#
#INFILE   SN2006X_bol.dat
#NAME     SN2006X
#AV_HOST  1.800 +/- 0.044
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.071 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 30.910 +/- 0.100
#NFILT    8 (u_CSP,B_CSP,g_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53776.328   2.68710760E+42   3.92173054E+41
 53777.332   3.27993706E+42   4.79041937E+41
 53778.352   3.89771493E+42   5.69629114E+41
 53779.344   4.47446362E+42   6.54342778E+41
 53780.367   4.99641441E+42   7.30960019E+41
 53782.336   5.71608226E+42   8.36432060E+41
 53783.215   5.80125300E+42   8.48234248E+41
 53784.324   5.95557289E+42   8.70811374E+41
 53785.301   6.02601101E+42   8.80985766E+41
 53786.324   6.04296696E+42   8.83715291E+41
 53787.332   6.00249243E+42   8.78308668E+41
 53788.312   5.93283973E+42   8.68426312E+41
 53789.309   5.80062677E+42   8.49478487E+41
 53790.293   5.56519772E+42   8.14829361E+41
 53795.277   4.17759934E+42   6.12686863E+41
 53796.320   3.89109579E+42   5.71567046E+41
 53797.309   3.64424078E+42   5.35651018E+41
 53798.289   3.38188106E+42   4.97341008E+41
 53799.285   3.20594919E+42   4.72200025E+41
 53800.324   3.06010775E+42   4.51490333E+41
 53802.277   2.84946598E+42   4.22335066E+41
 53803.293   2.76862530E+42   4.11276353E+41
 53804.266   2.71217774E+42   4.03916179E+41
 53805.223   2.67112394E+42   3.98719712E+41
 53807.254   2.58383710E+42   3.87270213E+41
 53808.297   2.52920171E+42   3.79602668E+41
 53809.227   2.47703262E+42   3.72377117E+41
 53810.262   2.41686118E+42   3.63310338E+41
 53813.250   2.17870464E+42   3.27160673E+41
 53815.215   1.97424894E+42   2.96234349E+41
 53817.320   1.72559392E+42   2.58842587E+41
 53818.277   1.59731088E+42   2.39196051E+41
 53819.250   1.51158440E+42   2.26224903E+41
 53820.234   1.42952777E+42   2.14076727E+41
 53824.234   1.18265265E+42   1.77155495E+41
 53826.266   1.08939738E+42   1.63194999E+41
 53829.230   9.82234136E+41   1.47157124E+41
 53830.234   9.52605598E+41   1.42721258E+41
 53831.195   9.29404006E+41   1.39267448E+41
 53832.266   8.98673944E+41   1.34672822E+41
 53833.246   8.71429033E+41   1.30604770E+41
 53835.152   8.24185572E+41   1.23454684E+41
 53838.188   7.50437405E+41   1.12342453E+41
 53839.172   7.29636316E+41   1.09209347E+41
 53841.215   6.95612861E+41   1.04092206E+41
