#generated on Fri Aug 21 14:11:09 2015 using mklcbol.pro
#
#INFILE   SN2006ax_bol.dat
#NAME     SN2006ax
#AV_HOST  0.050 +/- 0.047
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.127 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.460 +/- 0.100
#NFILT    3 (Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53817.270   4.32199992E+41   1.01742309E+41
 53820.316   6.29157267E+41   1.48460543E+41
 53822.207   6.85622023E+41   1.61711576E+41
 53826.125   6.35746897E+41   1.49841253E+41
 53829.148   5.06461673E+41   1.18873168E+41
 53830.125   4.64661265E+41   1.08899440E+41
 53833.133   3.50058901E+41   8.16551049E+40
 53835.066   2.96161108E+41   6.88979140E+40
 53837.215   2.45463064E+41   5.71314838E+40
 53839.117   2.19930229E+41   5.13160390E+40
 53843.145   2.15235819E+41   5.04827251E+40
 53845.059   2.37041691E+41   5.57821761E+40
 53848.137   2.79037845E+41   6.59556730E+40
 53851.098   3.31171019E+41   7.85622827E+40
 53855.082   4.20295403E+41   1.00304418E+41
 53860.156   4.70064287E+41   1.12999199E+41
 53864.070   4.15674564E+41   1.00011136E+41
 53868.145   3.25961411E+41   7.85872218E+40
 53869.070   3.04540214E+41   7.34840558E+40
