#generated on Thu Dec  3 17:44:47 2015 using mklcbol.pro
#
#INFILE   SN2006ax_bol.dat
#NAME     SN2006ax
#AV_HOST  0.027 +/- 0.025
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.127 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.460 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53817.270   6.03043888E+42   1.00186326E+42
 53818.184   7.34669648E+42   1.22447692E+42
 53819.211   8.75191393E+42   1.46306149E+42
 53820.316   1.01241605E+43   1.69674081E+42
 53821.098   1.09564547E+43   1.83811048E+42
 53822.207   1.19871266E+43   2.01579065E+42
 53823.160   1.25726635E+43   2.11763214E+42
 53824.160   1.30293788E+43   2.19779433E+42
 53826.125   1.34141124E+43   2.26895484E+42
 53828.016   1.31970186E+43   2.23457161E+42
 53829.148   1.28728267E+43   2.17976656E+42
 53830.125   1.24841104E+43   2.11326968E+42
 53831.133   1.19704050E+43   2.02469840E+42
 53832.137   1.14131488E+43   1.92898098E+42
 53833.133   1.08215013E+43   1.82787233E+42
 53834.223   1.01577635E+43   1.71544465E+42
 53835.066   9.54244881E+42   1.61047703E+42
 53837.215   8.08701621E+42   1.36421801E+42
 53838.156   7.52422126E+42   1.26937116E+42
 53839.117   7.01384472E+42   1.18205113E+42
 53840.117   6.54095980E+42   1.10118010E+42
 53841.176   6.09296664E+42   1.02231843E+42
 53843.145   5.39736154E+42   8.97173429E+41
 53845.059   4.91826458E+42   8.07336633E+41
 53848.137   4.30006414E+42   6.94194710E+41
 53850.113   4.04961743E+42   6.45868627E+41
 53851.098   3.92714748E+42   6.23038968E+41
 53855.082   3.46968584E+42   5.40717722E+41
 53858.059   3.15001452E+42   4.86276255E+41
 53860.156   2.89092695E+42   4.44775014E+41
 53861.055   2.75612119E+42   4.24176234E+41
 53864.070   2.36537219E+42   3.64306841E+41
 53866.047   2.11394368E+42   3.26411893E+41
 53867.113   2.00386571E+42   3.09894715E+41
 53869.070   1.83430717E+42   2.84908714E+41
