#generated on Tue Oct 28 14:26:36 2014 using mklcbol.pro
#
#INFILE   SN2006bh_lc_bol.dat
#NAME     SN2006bh
#AV_HOST  0.130 +/- 0.011
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.069 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 33.280 +/- 0.200
#NFILT    3 (Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53829.391   5.64983281E+41   8.37642028E+40
 53830.391   5.03145899E+41   7.46041658E+40
 53837.426   2.47929425E+41   3.67388951E+40
 53843.379   1.67579434E+41   2.47908651E+40
 53846.367   1.75225579E+41   2.59726674E+40
 53848.383   1.98589395E+41   2.94505004E+40
 53851.359   2.50945918E+41   3.72655347E+40
 53855.406   3.22766373E+41   4.80437112E+40
 53860.375   3.28201460E+41   4.89619174E+40
 53863.395   2.63142377E+41   3.92511174E+40
 53864.367   2.45783238E+41   3.66624802E+40
 53868.363   1.90823869E+41   2.84783475E+40
