#generated on Tue Sep  8 17:57:05 2015 using mklcbol.pro
#
#INFILE   SN2006bt_bol.dat
#NAME     SN2006bt
#AV_HOST  0.186 +/- 0.034
#RV_HOST  3.100 +/- 0.290
#AV_MW    0.124 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 35.772 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53855.227   9.90624853E+42   1.25014767E+42
 53858.250   1.02101059E+43   1.29007722E+42
 53859.281   1.01093027E+43   1.27743489E+42
 53861.273   9.66257646E+42   1.22065622E+42
 53862.230   9.36303793E+42   1.18252561E+42
 53863.219   9.02064856E+42   1.13881599E+42
 53864.258   8.65981181E+42   1.09294699E+42
 53866.195   8.01844286E+42   1.01148110E+42
 53867.246   7.61266398E+42   9.59991161E+41
 53869.238   6.81206308E+42   8.58465720E+41
