#generated on Fri Feb 20 10:13:10 2015 using mklcbol.pro
#
#INFILE   SN2006mr_bol.dat
#NAME     SN2006mr
#AV_HOST  0.276 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.056 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.150 +/- 0.000
#NFILT    4 (B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54046.164   3.00638329E+41   2.07257105E+40
 54048.301   4.95143642E+41   3.41091630E+40
 54049.207   5.59866653E+41   3.85389771E+40
 54052.242   6.11939496E+41   4.19215333E+40
 54056.230   4.64335494E+41   3.16142491E+40
 54060.258   3.09572703E+41   2.10095530E+40
 54065.246   1.94732573E+41   1.32273816E+40
 54066.312   1.80682356E+41   1.22744483E+40
 54068.250   1.58721083E+41   1.07879883E+40
 54071.156   1.32650101E+41   9.02485845E+39
 54073.211   1.18620918E+41   8.07585303E+39
 54076.211   1.02214373E+41   6.96607164E+39
 54080.258   8.43994423E+40   5.75941410E+39
 54084.164   7.17442271E+40   4.90074232E+39
 54087.121   6.40670557E+40   4.37968877E+39
 54092.156   5.16431461E+40   3.53565346E+39
 54096.145   4.32144698E+40   2.96195489E+39
 54099.113   3.89752837E+40   2.67277823E+39
 54100.133   3.82077275E+40   2.62196525E+39
 54104.215   3.36771995E+40   2.31599410E+39
 54106.141   3.11435888E+40   2.14182313E+39
 54108.145   2.83154645E+40   1.94716385E+39
 54110.086   2.63496356E+40   1.81495215E+39
 54118.168   2.02120518E+40   1.39721719E+39
 54123.117   1.72830221E+40   1.19229518E+39
 54127.180   1.37632398E+40   9.48866741E+38
 54130.055   1.17485286E+40   8.11609440E+38
 54133.090   1.22896857E+40   8.52191497E+38
 54136.117   1.19895238E+40   8.32581698E+38
 54143.051   9.28664293E+39   6.44804220E+38
 54147.055   6.82102331E+39   4.73056905E+38
