#generated on Thu Dec 10 16:57:08 2015 using mklcbol.pro
#
#INFILE   SN2006ob_bol.dat
#NAME     SN2006ob
#AV_HOST  0.076 +/- 0.022
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.090 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 37.082 +/- 0.100
#NFILT    4 (B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54060.129   5.41579567E+42   8.55334964E+41
 54065.066   5.79178137E+42   9.12322154E+41
 54073.094   3.50383440E+42   5.46124318E+41
 54075.105   2.92473846E+42   4.52847705E+41
 54079.133   2.10454395E+42   3.21947126E+41
 54084.051   1.37286902E+42   2.07657347E+41
 54087.055   1.05896258E+42   1.60074054E+41
 54092.066   7.68639118E+41   1.16280529E+41
 54100.039   5.77494522E+41   8.79655207E+40
 54104.047   5.04736549E+41   7.69354369E+40
 54108.059   4.58367484E+41   6.97134032E+40
 54112.059   4.20569651E+41   6.37757947E+40
 54121.055   3.54628008E+41   5.36392197E+40
