#generated on Wed Oct 15 10:30:31 2014 using mklcbol.pro
#
#INFILE   SN2006ot_lc_bolu.dat
#NAME     SN2006ot
#AV_HOST  1.200 +/- 0.030
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.045 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.800 +/- 0.200
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54065.160   2.67152275E+43   4.12316660E+42
 54066.207   2.64227172E+43   4.07827447E+42
 54067.227   2.59008553E+43   3.99758593E+42
 54069.066   2.40946559E+43   3.71804844E+42
 54070.191   2.30096874E+43   3.55000442E+42
 54071.125   2.20116651E+43   3.39553808E+42
 54072.168   2.08137457E+43   3.21012146E+42
 54073.137   1.96650508E+43   3.03205939E+42
 54075.160   1.74432006E+43   2.68809479E+42
 54077.184   1.53484446E+43   2.36517741E+42
