#generated on Mon Aug 11 11:26:45 2014 using mklcbol.pro
#
#INFILE   SN2007N_lc_bol.dat
#NAME     SN2007N
#AV_HOST  0.350 +/- 0.113
#RV_HOST  1.190 +/- 0.400
#AV_MW    0.102 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 33.900 +/- 0.150
#NFILT    6 (B_Bessell,V_Bessell,R_Bessell,I_Bessell,J_2MASS,H_2MASS)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54124.270   1.18290042E+42   2.94397979E+41
 54125.371   1.22677823E+42   3.05129443E+41
 54126.371   1.23609884E+42   3.07189483E+41
 54127.309   1.21427790E+42   3.01419408E+41
 54128.309   1.16953439E+42   2.89913406E+41
 54129.270   1.11184655E+42   2.75230428E+41
 54131.293   9.45169654E+41   2.33179014E+41
 54132.312   8.67607824E+41   2.14190526E+41
 54133.301   7.90070931E+41   1.94884481E+41
 54135.270   6.48011585E+41   1.60226524E+41
 54140.375   4.12967766E+41   1.02966902E+41
 54143.305   3.37294550E+41   8.44397781E+40
 54147.250   2.64614196E+41   6.65197269E+40
 54150.301   2.23855219E+41   5.63873458E+40
 54153.305   1.90826326E+41   4.81577859E+40
 54154.273   1.83895767E+41   4.64377918E+40
 54156.234   1.69214274E+41   4.27812654E+40
 54158.277   1.56360676E+41   3.95170877E+40
 54160.293   1.50161252E+41   3.79239472E+40
 54161.215   1.45526105E+41   3.67509386E+40
 54164.238   1.30316526E+41   3.28818679E+40
 54169.230   1.06715320E+41   2.68234970E+40
