#generated on Thu Dec  3 17:48:15 2015 using mklcbol.pro
#
#INFILE   SN2007S_bol.dat
#NAME     SN2007S
#AV_HOST  0.813 +/- 0.044
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.068 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.068 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54133.328   6.62634625E+42   1.05733065E+42
 54137.285   1.07970818E+43   1.72226451E+42
 54138.273   1.17810079E+43   1.88060034E+42
 54139.137   1.25725536E+43   2.00791113E+42
 54140.234   1.34473709E+43   2.14985116E+42
 54143.250   1.41413053E+43   2.26454232E+42
 54146.328   1.40239291E+43   2.24872078E+42
 54147.219   1.37186348E+43   2.20059014E+42
 54150.191   1.23562282E+43   1.98385268E+42
 54153.262   1.03149741E+43   1.65636053E+42
 54154.141   9.65930812E+42   1.55144088E+42
 54156.160   8.46213496E+42   1.36019279E+42
 54158.191   7.26153702E+42   1.16692852E+42
 54160.156   6.41432560E+42   1.02905995E+42
 54161.160   6.08017949E+42   9.74325934E+41
 54164.180   5.33882917E+42   8.52480752E+41
 54165.207   5.14734550E+42   8.21014985E+41
 54166.148   4.98952904E+42   7.95030196E+41
 54169.176   4.61995780E+42   7.34189808E+41
 54171.230   4.39705018E+42   6.96940840E+41
 54174.230   3.87160876E+42   6.10973300E+41
 54175.141   3.75184527E+42   5.91090637E+41
 54184.121   2.64746853E+42   4.15939748E+41
 54185.176   2.45236003E+42   3.85055993E+41
 54191.164   1.94752355E+42   3.06567764E+41
 54194.113   1.77830538E+42   2.80697912E+41
 54199.090   1.52662755E+42   2.41791900E+41
 54203.191   1.36713385E+42   2.17081006E+41
 54213.113   1.06489335E+42   1.69892522E+41
 54223.035   8.48830833E+41   1.35896184E+41
 54224.055   8.30318005E+41   1.32974003E+41
 54244.977   5.56146147E+41   8.95577526E+40
