#generated on Fri Jan 30 10:47:42 2015 using mklcbol.pro
#
#INFILE   SN2007ai_bol.dat
#NAME     SN2007ai
#AV_HOST  0.640 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.840 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.730 +/- 0.000
#NFILT    8 (u_CSP,B_CSP,g_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54174.371   1.34767682E+43   4.33429622E+41
 54179.375   1.15850458E+43   3.73204897E+41
 54180.332   1.10964978E+43   3.57610161E+41
 54181.348   1.05480175E+43   3.40118843E+41
 54182.324   9.95670461E+42   3.20928444E+41
 54184.352   8.75126826E+42   2.82163359E+41
 54185.359   8.15390085E+42   2.62989997E+41
 54190.355   6.07450924E+42   1.97777566E+41
 54194.363   5.12574962E+42   1.69022601E+41
 54199.285   4.38689427E+42   1.46819617E+41
 54200.363   4.23942004E+42   1.42418559E+41
 54203.371   3.71436885E+42   1.25688984E+41
