#generated on Fri Jan 30 12:02:27 2015 using mklcbol.pro
#
#INFILE   SN2007ai_bol.dat
#NAME     SN2007ai
#AV_HOST  0.640 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.840 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 35.730 +/- 0.000
#NFILT    9 (u_CSP,B_CSP,g_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54174.371   1.30179570E+43   4.18198946E+41
 54179.375   1.11586601E+43   3.58205082E+41
 54180.332   1.06996392E+43   3.43405090E+41
 54181.348   1.01699807E+43   3.26467373E+41
 54182.324   9.60598252E+42   3.08171417E+41
 54184.352   8.46663104E+42   2.71285830E+41
 54185.359   7.90100285E+42   2.53083339E+41
 54190.355   5.86474436E+42   1.88829030E+41
 54194.363   4.89264197E+42   1.58980827E+41
 54199.285   4.12017432E+42   1.35449898E+41
 54200.363   3.96218981E+42   1.30656928E+41
 54203.371   3.44244280E+42   1.14155847E+41
