#generated on Thu Dec  3 17:48:28 2015 using mklcbol.pro
#
#INFILE   SN2007as_bol.dat
#NAME     SN2007as
#AV_HOST  0.085 +/- 0.019
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.381 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 34.453 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54181.184   8.87818255E+42   7.12857327E+41
 54182.207   8.78551834E+42   7.05142705E+41
 54183.098   8.56423792E+42   6.88339533E+41
 54185.113   7.88735864E+42   6.34569788E+41
 54190.184   5.66331170E+42   4.55763019E+41
 54193.051   4.61363887E+42   3.69296456E+41
 54194.055   4.16713747E+42   3.32913282E+41
 54197.078   3.47302472E+42   2.75739906E+41
 54203.230   2.74692567E+42   2.15415244E+41
 54207.066   2.25237311E+42   1.75889288E+41
 54208.016   2.19037778E+42   1.70192741E+41
 54213.023   1.60661955E+42   1.24628776E+41
 54218.094   1.24101420E+42   9.65407678E+40
 54219.035   1.18107009E+42   9.20827601E+40
 54223.969   9.88866516E+41   7.74597810E+40
 54227.086   8.87044129E+41   6.96058346E+40
 54229.035   8.50485821E+41   6.68190730E+40
 54230.156   8.31152526E+41   6.52784371E+40
 54231.066   8.07805600E+41   6.34589083E+40
 54235.988   7.02364300E+41   5.53074394E+40
 54237.949   6.61343185E+41   5.21049228E+40
 54239.008   6.37114325E+41   5.02016770E+40
 54243.043   5.80513219E+41   4.58194095E+40
 54244.027   5.67591512E+41   4.48144467E+40
