#generated on Fri Feb 20 13:13:42 2015 using mklcbol.pro
#
#INFILE   SN2007ax_bol.dat
#NAME     SN2007ax
#AV_HOST  0.660 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.140 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.440 +/- 0.000
#NFILT    4 (B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54185.051   1.00376283E+42   6.89179988E+40
 54190.105   1.22504259E+42   8.36224595E+40
 54194.008   8.98632505E+41   6.09881281E+40
 54197.051   6.57448700E+41   4.45230969E+40
 54206.984   2.83359805E+41   1.91850096E+40
 54212.965   2.16701735E+41   1.46955421E+40
 54218.004   1.77003568E+41   1.20231846E+40
 54218.965   1.70196261E+41   1.15616218E+40
 54223.961   1.39235441E+41   9.46118588E+39
 54228.969   1.13275292E+41   7.70475475E+39
 54234.953   9.18722465E+40   6.26313894E+39
 54238.949   8.16965704E+40   5.57689600E+39
 54245.949   7.06477670E+40   4.83017651E+39
