#generated on Fri Feb 20 18:13:15 2015 using mklcbol.pro
#
#INFILE   SN2007ax_bol.dat
#NAME     SN2007ax
#AV_HOST  0.660 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.140 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.440 +/- 0.000
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54185.051   1.43307441E+42   9.66390283E+40
 54190.105   1.83509090E+42   1.23238474E+41
 54191.098   1.81926277E+42   1.21992416E+41
 54194.008   1.49638663E+42   9.95459480E+40
 54196.031   1.29805601E+42   8.60186805E+40
 54197.051   1.14801391E+42   7.58241441E+40
 54205.020   6.03312523E+41   3.93884447E+40
 54206.984   5.37712446E+41   3.51371127E+40
 54212.965   4.06483199E+41   2.67501140E+40
 54218.004   3.20822579E+41   2.12847795E+40
 54218.965   3.03909397E+41   2.02137042E+40
 54221.969   2.66660992E+41   1.77755863E+40
 54223.961   2.46438241E+41   1.64485146E+40
 54228.969   1.97917308E+41   1.32427274E+40
 54229.961   1.90317791E+41   1.27402208E+40
