#generated on Thu Jan 29 15:45:01 2015 using mklcbol.pro
#
#INFILE   SN2007bc_lc_bolu.dat
#NAME     SN2007bc
#AV_HOST  0.400 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.057 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 34.890 +/- 0.050
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54198.152   1.29166967E+43   2.99870479E+42
 54199.148   1.30793311E+43   3.03789005E+42
 54202.164   1.26378877E+43   2.93969502E+42
 54203.152   1.19421152E+43   2.77784911E+42
 54205.145   1.00502350E+43   2.33964451E+42
 54208.137   8.15360443E+42   1.89250091E+42
 54219.109   4.63095023E+42   1.06446934E+42
 54224.098   3.79312416E+42   8.70447424E+41
 54227.113   3.27367415E+42   7.50602182E+41
 54230.043   2.77230022E+42   6.33958064E+41
 54231.109   2.55594001E+42   5.83958970E+41
 54232.117   2.40716235E+42   5.49799123E+41
 54234.059   2.16057343E+42   4.93433272E+41
 54235.035   2.05032149E+42   4.68317986E+41
 54238.082   1.74760995E+42   4.00368511E+41
 54245.047   1.30123697E+42   2.99398494E+41
 54254.016   1.00666793E+42   2.32994370E+41
