#generated on Tue Dec  8 16:02:58 2015 using mklcbol.pro
#
#INFILE   SN2007hj.dat
#NAME     SN2007hj
#AV_HOST  0.180 +/- 0.020
#RV_HOST  1.700 +/- 0.000
#AV_MW    0.232 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.929 +/- 0.100
#NFILT    4 (B_Bessell,V_Bessell,R_Bessell,I_Bessell)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54348.301   4.40008179E+42   3.48271410E+41
 54348.305   4.40092555E+42   3.48338141E+41
 54351.406   4.47386547E+42   3.53498829E+41
 54351.410   4.46969134E+42   3.53174204E+41
 54351.414   4.45304303E+42   3.51819569E+41
 54352.133   4.36206592E+42   3.44462016E+41
 54352.148   4.35842414E+42   3.44173824E+41
 54352.156   4.34637587E+42   3.43194689E+41
 54353.332   4.13679081E+42   3.26361327E+41
 54353.340   4.13559473E+42   3.26264654E+41
 54354.289   3.89486328E+42   3.07057086E+41
 54354.293   3.87466085E+42   3.05415844E+41
 54355.320   3.56650155E+42   2.80878683E+41
 54355.324   3.55331157E+42   2.79864048E+41
 54355.328   3.55050048E+42   2.79637848E+41
 54356.316   3.26494360E+42   2.56954996E+41
 54356.320   3.27757067E+42   2.57982764E+41
 54357.324   3.00249546E+42   2.36058173E+41
 54357.328   2.98679637E+42   2.34786144E+41
 54358.344   2.71614049E+42   2.13264068E+41
 54358.348   2.71242416E+42   2.12964456E+41
 54361.375   2.06134185E+42   1.61314647E+41
 54361.379   2.06428853E+42   1.61532426E+41
 54361.383   2.06061040E+42   1.61236276E+41
 54363.227   1.77846178E+42   1.38969637E+41
 54363.230   1.79356240E+42   1.40190965E+41
 54368.141   1.24198477E+42   9.69254937E+40
 54368.145   1.24227602E+42   9.69499128E+40
 54372.398   8.96315727E+41   6.99076732E+40
 54372.402   8.88562451E+41   6.93161887E+40
 54372.406   8.79231269E+41   6.85643544E+40
 54375.375   7.04529279E+41   5.49351613E+40
 54377.258   6.11409218E+41   4.76870082E+40
 54377.262   6.07996042E+41   4.74121016E+40
 54379.234   5.51453529E+41   4.30146316E+40
 54379.238   5.51088051E+41   4.29870427E+40
 54380.109   5.37928590E+41   4.19674665E+40
 54380.113   5.40142039E+41   4.21421770E+40
 54381.133   5.24276285E+41   4.09101009E+40
 54381.137   5.22956966E+41   4.08038276E+40
 54383.215   5.00414320E+41   3.90516675E+40
 54383.219   4.97450774E+41   3.88126442E+40
 54400.332   2.99209812E+41   2.33912776E+40
 54400.336   3.01215769E+41   2.35473171E+40
 54402.172   2.81187854E+41   2.20045815E+40
 54402.176   2.74276260E+41   2.14687113E+40
 54402.180   2.73874181E+41   2.14363536E+40
 54404.176   2.61423396E+41   2.04791084E+40
 54404.180   2.64018661E+41   2.06808675E+40
 54404.184   2.64291809E+41   2.07030347E+40
 54405.098   2.61226639E+41   2.04693437E+40
 54405.102   2.61481092E+41   2.04891357E+40
 54405.105   2.62862776E+41   2.06009622E+40
 54408.094   2.50224141E+41   1.96221030E+40
 54408.098   2.48396479E+41   1.94796782E+40
 54408.102   2.47944127E+41   1.94431323E+40
 54411.090   2.26012689E+41   1.77202253E+40
 54411.094   2.26229605E+41   1.77367016E+40
 54411.098   2.25697372E+41   1.76952971E+40
 54411.102   2.23706032E+41   1.75342366E+40
 54412.086   2.17458475E+41   1.70463019E+40
 54412.094   2.17149835E+41   1.70226695E+40
 54412.102   2.16968265E+41   1.70085541E+40
 54412.105   2.17636231E+41   1.70626731E+40
 54415.211   2.05348030E+41   1.61189238E+40
 54415.215   2.05297349E+41   1.61150549E+40
 54415.219   2.02261016E+41   1.58791443E+40
 54415.223   2.01639576E+41   1.58288783E+40
 54424.062   1.95382996E+41   1.53797722E+40
 54425.066   1.91038355E+41   1.50472088E+40
 54425.070   1.89863860E+41   1.49558907E+40
 54427.074   1.83889627E+41   1.45086845E+40
 54427.078   1.81710806E+41   1.43397430E+40
 54427.086   1.87186426E+41   1.47848099E+40
 54429.059   1.72517166E+41   1.36149001E+40
 54429.062   1.79863644E+41   1.41842766E+40
 54429.066   1.84025028E+41   1.45220292E+40
 54431.109   1.67378957E+41   1.31960397E+40
 54431.113   1.68437417E+41   1.32782660E+40
 54432.070   1.54446538E+41   1.21674490E+40
 54432.074   1.53120921E+41   1.20642790E+40
 54432.078   1.50389130E+41   1.18428997E+40
 54433.078   1.37279728E+41   1.08086032E+40
 54433.082   1.38356022E+41   1.08921618E+40
 54433.086   1.38568908E+41   1.09094682E+40
 54440.207   1.05100133E+41   8.26583429E+39
 54440.211   1.05847377E+41   8.32373802E+39
 54440.219   1.21044702E+41   9.55826973E+39
 54455.066   9.96010671E+40   7.94499670E+39
 54455.070   9.98225646E+40   7.96180662E+39
 54455.074   1.00976382E+41   8.05057491E+39
 54456.070   9.84756841E+40   7.85794844E+39
 54456.074   9.84061661E+40   7.85259782E+39
 54456.078   9.83958167E+40   7.85180085E+39
 54457.062   9.58600529E+40   7.65610471E+39
 54457.066   9.58502285E+40   7.65534530E+39
 54477.090   6.13575337E+40   4.91181707E+39
