#generated on Mon Apr 27 18:35:38 2015 using mklcbol.pro
#
#INFILE   SN2007if_bol.dat
#NAME     SN2007if
#AV_HOST  0.186 +/- 0.034
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.220 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 37.598 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54359.230   2.64909579E+43   2.78509259E+42
 54362.230   2.26112165E+43   2.37494828E+42
 54363.172   2.16752257E+43   2.27580806E+42
 54364.172   2.06830723E+43   2.17042876E+42
 54365.191   1.98071356E+43   2.07670610E+42
 54366.250   1.91270787E+43   2.00474703E+42
 54367.246   1.83270863E+43   1.92052791E+42
 54368.215   1.71717763E+43   1.79800053E+42
 54369.211   1.63555998E+43   1.71193022E+42
 54376.137   1.19916380E+43   1.25378411E+42
 54379.203   1.06949654E+43   1.11801575E+42
