#generated on Thu Dec  3 17:48:41 2015 using mklcbol.pro
#
#INFILE   SN2007le_bol.dat
#NAME     SN2007le
#AV_HOST  0.660 +/- 0.039
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.090 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 32.210 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54388.051   3.61996463E+42   5.55848586E+41
 54392.090   8.43984999E+42   1.30674950E+42
 54393.098   9.46289376E+42   1.46664465E+42
 54394.086   1.01305117E+43   1.57103015E+42
 54395.086   1.05780373E+43   1.64111302E+42
 54396.133   1.09311302E+43   1.69762758E+42
 54398.000   1.12544621E+43   1.74956276E+42
 54399.121   1.12855478E+43   1.75536001E+42
 54400.082   1.11759212E+43   1.73875581E+42
 54402.113   1.07623831E+43   1.67548109E+42
 54403.051   1.04349295E+43   1.62496090E+42
 54407.109   8.52733470E+42   1.33000658E+42
 54408.184   7.92089883E+42   1.23647753E+42
 54409.066   7.38642366E+42   1.15305001E+42
 54410.109   6.82359077E+42   1.06509520E+42
 54411.070   6.27974214E+42   9.80057536E+41
 54413.086   5.45701868E+42   8.50562294E+41
 54415.062   4.85756036E+42   7.54580584E+41
 54417.121   4.42078963E+42   6.84671414E+41
 54426.051   3.37495871E+42   5.15273031E+41
 54428.062   3.14666469E+42   4.79404792E+41
 54430.043   2.82708534E+42   4.29875869E+41
 54434.070   2.26063984E+42   3.42946303E+41
 54435.035   2.12682647E+42   3.22560357E+41
 54439.102   1.74199375E+42   2.65026468E+41
 54440.055   1.68384178E+42   2.56423107E+41
 54443.125   1.51595450E+42   2.31482547E+41
 54444.020   1.47355185E+42   2.25165967E+41
 54445.043   1.42934847E+42   2.18603447E+41
 54448.047   1.31002812E+42   2.00776752E+41
 54449.043   1.27365607E+42   1.95337548E+41
 54454.020   1.10958577E+42   1.70585535E+41
 54455.027   1.08187507E+42   1.66405055E+41
 54456.043   1.04632568E+42   1.61000089E+41
 54457.023   1.01988545E+42   1.57017896E+41
 54463.027   8.85676620E+41   1.36867618E+41
 54466.023   8.21122944E+41   1.27086085E+41
 54467.031   7.99745283E+41   1.23832699E+41
 54469.031   7.57918952E+41   1.17447929E+41
