#generated on Thu Dec  3 17:49:13 2015 using mklcbol.pro
#
#INFILE   SN2008R_bol.dat
#NAME     SN2008R
#AV_HOST  0.015 +/- 0.022
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.192 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 33.731 +/- 0.100
#NFILT    7 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54495.082   5.95331937E+42   6.92274902E+41
 54497.082   5.48494831E+42   6.37987511E+41
 54498.109   5.24181340E+42   6.09029325E+41
 54499.070   4.80838139E+42   5.56480940E+41
 54503.070   3.57621090E+42   4.06604386E+41
 54508.062   2.61339622E+42   2.90184115E+41
 54512.039   2.11533499E+42   2.31734342E+41
 54515.066   1.70980633E+42   1.86212206E+41
 54516.059   1.61860559E+42   1.74919516E+41
 54517.066   1.49091032E+42   1.61152802E+41
 54519.047   1.26159800E+42   1.36801306E+41
 54520.012   1.16974758E+42   1.27203174E+41
 54521.023   1.09049296E+42   1.18770057E+41
 54522.012   1.02439202E+42   1.11763813E+41
 54523.008   9.72752453E+41   1.06304401E+41
 54524.000   9.23917376E+41   1.01145663E+41
