#generated on Mon Feb  2 10:37:08 2015 using mklcbol.pro
#
#INFILE   SN2008fp_lc_bolu.dat
#NAME     SN2008fp
#AV_HOST  0.710 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.490 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 31.770 +/- 0.050
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54724.324   4.76047928E+42   4.86166596E+41
 54725.320   5.18979209E+42   5.30135079E+41
 54726.320   5.54900519E+42   5.66999759E+41
 54728.316   5.97707142E+42   6.10894926E+41
 54729.301   6.05904357E+42   6.19382912E+41
 54732.301   5.98850499E+42   6.12401012E+41
 54740.301   4.28403277E+42   4.38288975E+41
 54744.312   3.18853026E+42   3.25973613E+41
 54747.305   2.59005658E+42   2.64200948E+41
 54749.305   2.29172803E+42   2.33325003E+41
 54751.281   2.06387772E+42   2.09689719E+41
 54753.367   1.85979367E+42   1.88530336E+41
 54759.344   1.38978835E+42   1.40118126E+41
 54760.301   1.31470332E+42   1.32504407E+41
 54765.324   9.83681656E+41   9.91199071E+40
 54768.312   8.53239566E+41   8.60211203E+40
 54770.285   7.87905715E+41   7.94677135E+40
 54779.320   6.01406707E+41   6.07933650E+40
 54781.316   5.70311208E+41   5.76742404E+40
 54783.293   5.41567285E+41   5.47874487E+40
 54790.320   4.58084989E+41   4.64129003E+40
 54792.258   4.39543133E+41   4.45597841E+40
 54795.254   4.12174513E+41   4.18174856E+40
 54797.348   3.93254584E+41   3.99148752E+40
 54803.316   3.42501507E+41   3.48004803E+40
 54809.219   3.00605318E+41   3.05769484E+40
 54813.312   2.75710912E+41   2.80657298E+40
 54820.211   2.40330304E+41   2.44943739E+40
