#generated on Thu Nov  6 14:50:31 2014 using mklcbol.pro
#
#INFILE   SN2008fpbol.dat
#NAME     SN2008fp
#AV_HOST  0.710 +/- 0.000
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.510 +/- 0.000
#RV_MW    3.100 +/- 0.000
#DIST_MOD 31.790 +/- 0.000
#NFILT    8 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 54725.320   7.40265801E+42   3.53221473E+41
 54726.320   7.80150192E+42   3.72704675E+41
 54727.332   8.09978840E+42   3.87317135E+41
 54728.316   8.20836820E+42   3.92842308E+41
 54729.301   8.24229431E+42   3.94743314E+41
 54730.367   8.20177480E+42   3.93054439E+41
 54731.387   8.10263665E+42   3.88585578E+41
 54732.301   7.94554297E+42   3.81253668E+41
 54733.379   7.72755733E+42   3.70981076E+41
 54737.391   6.59312255E+42   3.16798455E+41
 54740.301   5.50081481E+42   2.64187989E+41
 54741.387   5.14990075E+42   2.47263914E+41
 54743.383   4.54065575E+42   2.17742460E+41
 54744.312   4.15521668E+42   1.99064041E+41
 54745.348   3.91099381E+42   1.87043271E+41
 54747.305   3.55560822E+42   1.69456356E+41
 54749.305   3.29307738E+42   1.56336973E+41
 54751.281   3.12806170E+42   1.47897376E+41
 54752.285   3.06961046E+42   1.44738974E+41
 54753.367   3.01682662E+42   1.41902966E+41
 54756.301   2.90546293E+42   1.35702883E+41
 54758.254   2.82496996E+42   1.31381996E+41
 54759.344   2.78229319E+42   1.29109276E+41
 54760.301   2.70710112E+42   1.25385365E+41
 54764.340   2.27699275E+42   1.05113502E+41
 54765.324   2.16762388E+42   1.00002642E+41
 54768.312   1.89807686E+42   8.75092900E+40
 54770.285   1.74524204E+42   8.04754063E+40
 54775.320   1.37718528E+42   6.37012648E+40
 54779.320   1.19135890E+42   5.52336180E+40
 54780.352   1.14813466E+42   5.32583613E+40
 54781.316   1.11048689E+42   5.15382597E+40
 54783.293   1.03783061E+42   4.82146061E+40
 54784.348   1.00241757E+42   4.65899620E+40
 54790.320   8.28258638E+41   3.86180711E+40
 54792.258   7.79002501E+41   3.63626066E+40
 54794.293   7.32018195E+41   3.42098574E+40
 54795.254   7.12403764E+41   3.33124530E+40
 54796.273   6.91379540E+41   3.23482745E+40
 54797.348   6.69795545E+41   3.13558933E+40
 54799.316   6.32950813E+41   2.96619965E+40
