#generated on Mon Oct 12 15:43:31 2015 using mklcbol.pro
#
#INFILE   SN2014J_optir.dat
#NAME     SN2014J
#AV_HOST  2.200 +/- 0.100
#RV_HOST  1.700 +/- 0.290
#AV_MW    0.042 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 27.640 +/- 0.160
#NFILT    8 (u_CSP,B_Bessell,V_Bessell,R_Bessell,I_Bessell,Y_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 56685.125   1.01945003E+43   1.88424682E+42
 56685.738   1.05113427E+43   1.94298517E+42
 56685.750   1.05111596E+43   1.94301910E+42
 56686.762   1.09254035E+43   2.01986620E+42
 56686.770   1.09295840E+43   2.02058284E+42
 56687.781   1.12205871E+43   2.07457089E+42
 56687.801   1.12253160E+43   2.07545640E+42
 56688.852   1.13837612E+43   2.10492190E+42
 56689.395   1.13750096E+43   2.10339561E+42
 56690.301   1.12318024E+43   2.07694637E+42
 56690.781   1.10865588E+43   2.05011728E+42
 56691.781   1.07101894E+43   1.98063423E+42
 56692.164   1.05320974E+43   1.94751709E+42
 56692.789   1.02924226E+43   1.90293729E+42
 56694.781   9.50182438E+42   1.75595801E+42
 56694.801   9.49401542E+42   1.75451657E+42
 56694.809   9.49606480E+42   1.75484146E+42
 56695.781   9.08988408E+42   1.67939798E+42
 56695.801   9.08180511E+42   1.67792409E+42
 56695.809   9.07977828E+42   1.67753516E+42
 56696.738   8.66926915E+42   1.60145785E+42
 56696.750   8.66402420E+42   1.60048426E+42
 56696.770   8.64924485E+42   1.59780295E+42
 56696.863   8.57408138E+42   1.58382315E+42
 56697.738   8.19272822E+42   1.51309513E+42
 56697.770   8.17895338E+42   1.51052458E+42
 56697.789   8.17492826E+42   1.50973599E+42
 56699.750   7.34166308E+42   1.35514868E+42
 56699.770   7.33307298E+42   1.35353139E+42
 56699.789   7.33830119E+42   1.35438812E+42
 56700.418   7.04958191E+42   1.30102562E+42
 56700.430   6.99092921E+42   1.29009326E+42
 56700.750   6.88015299E+42   1.26968035E+42
 56700.770   6.87191370E+42   1.26817241E+42
 56700.988   6.80457824E+42   1.25569675E+42
 56701.301   6.71595762E+42   1.23921648E+42
 56701.305   6.77279158E+42   1.24975477E+42
 56702.293   6.35440609E+42   1.17212032E+42
 56702.297   6.34599327E+42   1.17057188E+42
 56702.574   6.19712459E+42   1.14292965E+42
 56703.344   5.83931936E+42   1.07640834E+42
 56703.348   5.83713580E+42   1.07600492E+42
 56703.840   5.63108927E+42   1.03766832E+42
 56703.859   5.62300892E+42   1.03615694E+42
 56703.871   5.61554349E+42   1.03479291E+42
 56704.859   5.27255734E+42   9.70997165E+41
 56704.871   5.26887484E+42   9.70324047E+41
 56705.332   5.13768927E+42   9.45867977E+41
 56705.871   5.00415527E+42   9.20929014E+41
 56705.879   5.00700970E+42   9.21424628E+41
 56706.320   4.92325324E+42   9.05788173E+41
 56706.324   4.94467276E+42   9.09699696E+41
 56706.781   4.85451767E+42   8.92882501E+41
 56707.828   4.66770028E+42   8.57944579E+41
 56707.852   4.66941234E+42   8.58219502E+41
 56708.266   4.60116065E+42   8.45421905E+41
 56709.340   4.43653909E+42   8.14640375E+41
 56709.750   4.38655535E+42   8.05230917E+41
 56709.762   4.38483342E+42   8.04895996E+41
 56709.770   4.39035807E+42   8.05862173E+41
 56710.289   4.35118504E+42   7.98436601E+41
 56710.293   4.37064767E+42   8.02002978E+41
 56711.246   4.29073819E+42   7.86876574E+41
 56711.250   4.28602810E+42   7.86006757E+41
 56712.258   4.15773022E+42   7.61967064E+41
 56712.996   4.06229987E+42   7.44143580E+41
 56713.297   4.02468227E+42   7.37143010E+41
 56714.262   3.89476346E+42   7.12922763E+41
 56717.730   3.46563671E+42   6.33145163E+41
 56717.738   3.46436455E+42   6.32896230E+41
 56717.750   3.46579905E+42   6.33135585E+41
 56719.363   3.26344403E+42   5.95862621E+41
 56719.367   3.26221370E+42   5.95637108E+41
 56719.730   3.21791288E+42   5.87455712E+41
 56719.738   3.21654560E+42   5.87185827E+41
 56719.750   3.21126590E+42   5.86246458E+41
 56721.270   3.01372263E+42   5.49986449E+41
 56721.273   3.01590435E+42   5.50394881E+41
 56723.039   2.77368319E+42   5.06054131E+41
