#generated on Wed Aug 20 17:54:36 2014 using mklcbol.pro
#
#INFILE   02dj_lc_bol.dat
#NAME     02dj
#AV_HOST  0.150 +/- 0.113
#RV_HOST  3.190 +/- 0.290
#AV_MW    0.077 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 32.930 +/- 0.150
#NFILT    6 (B_CSP,V_CSP,r_CSP,i_CSP,J_CSP,H_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 52439.102   1.99427979E+42   8.93815796E+41
 52439.898   2.56161400E+42   1.14822142E+42
 52440.000   2.64051932E+42   1.18365664E+42
 52441.102   3.57970732E+42   1.60761881E+42
 52444.102   6.69099928E+42   3.02736304E+42
 52446.000   8.60150279E+42   3.90491160E+42
 52450.000   1.01388947E+43   4.61498365E+42
 52452.898   7.92010383E+42   3.59994398E+42
 52453.102   7.87471096E+42   3.58275307E+42
 52453.898   7.69888691E+42   3.50458432E+42
 52455.000   7.36721250E+42   3.35620245E+42
 52456.000   7.01300819E+42   3.20006161E+42
 52458.000   6.40022629E+42   2.92332172E+42
 52458.102   6.35615178E+42   2.90328527E+42
 52460.000   5.58871321E+42   2.55342658E+42
 52463.000   4.58467944E+42   2.09308550E+42
 52464.000   4.32381974E+42   1.97398665E+42
 52465.000   4.09859372E+42   1.86976930E+42
 52467.000   3.75794092E+42   1.71095049E+42
 52470.000   3.45054463E+42   1.56549548E+42
 52473.000   3.28956665E+42   1.48733198E+42
 52473.102   3.27647081E+42   1.48123402E+42
 52476.000   2.93970207E+42   1.32451302E+42
 52479.898   2.73338041E+42   1.22823224E+42
 52481.000   2.66005045E+42   1.19403375E+42
 52484.000   2.39889959E+42   1.07751634E+42
 52487.000   2.08955548E+42   9.40742613E+41
 52494.000   1.37186041E+42   6.18546973E+41
 52495.000   1.28121659E+42   5.77513875E+41
