#generated on Wed Aug 27 16:39:06 2014 using mklcbol.pro
#
#INFILE   SN2004gu_lc_bolu.dat
#NAME     SN2004gu
#AV_HOST  0.200 +/- 0.113
#RV_HOST  1.900 +/- 0.290
#AV_MW    0.066 +/- 0.000
#RV_MW    3.190 +/- 0.000
#DIST_MOD 36.590 +/- 0.050
#NFILT    5 (u_CSP,B_CSP,V_CSP,r_CSP,i_CSP)
#
#time[d]     lbol[erg/s]      lbolerr[erg/s] 
 53361.328   1.03813528E+43   3.99045357E+42
 53362.352   1.03357878E+43   3.97246511E+42
 53363.348   1.01994910E+43   3.92001669E+42
 53365.332   9.87237608E+42   3.79466737E+42
 53369.344   8.67988774E+42   3.33654002E+42
 53372.336   7.39640948E+42   2.84244817E+42
 53373.336   6.92928852E+42   2.66301277E+42
 53376.340   5.65685379E+42   2.17328411E+42
 53377.340   5.25392558E+42   2.01775985E+42
 53380.340   4.29042263E+42   1.64426573E+42
 53381.328   4.00788003E+42   1.53476063E+42
 53384.312   3.45424194E+42   1.31971209E+42
 53385.344   3.25440240E+42   1.24195449E+42
 53386.301   3.07747467E+42   1.17310263E+42
 53387.285   2.92935072E+42   1.11540817E+42
 53388.312   2.81037564E+42   1.06885599E+42
 53390.336   2.52468473E+42   9.58226219E+41
 53391.309   2.42926430E+42   9.21701582E+41
 53393.316   2.22986194E+42   8.44829080E+41
 53394.305   2.14007669E+42   8.10207073E+41
